taxon_id,rank,simple_name,alien_type,is_in_taiwan,protected,redlist,iucn,cites,sensitive,reason,TC_URL
t0028060,Species,Manta alfredi,"",TRUE,I,"",VU,II,"",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0028060
t0028061,Species,Manta birostris,"",TRUE,I,"",EN,II,"",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0028061
t0032810,Species,Sesapa honbaensis,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0032810
t0033882,Species,Amanita cokeri,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0033882
t0035751,Species,Fusarium udum,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0035751
t0038071,Subspecies,Salganea taiwanensis taiwanensis,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0038071
t0040934,Species,Humicola insolens,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0040934
t0041468,Species,Leucocoprinus denudatus,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0041468
t0041805,Species,Microstoma floccosa,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0041805
t0042753,Species,Phyllachora dolichogena,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0042753
t0044286,Species,Syncephalastrum monosporum,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0044286
t0044555,Species,Tubulicium vermiferum,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0044555
t0045098,Species,Candeina nitida,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0045098
t0045287,Species,Euglena limnophila,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0045287
t0045347,Species,Globigerina eggeri,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0045347
t0045353,Species,Globigerina praebulloides,"",TRUE,"","","","","",種與種下原生性空白,https://taicol.tw/zh-hant/taxon/t0045353
