taxon_id,rank,simple_name,name_author,is_dup_simple_name,is_dup_name_author,is_dup_name_author_rank,reason,TC_URL
t0000022,Infrakingdom,Euglenozoa,"",TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000022
t0000026,Infrakingdom,Chlorophyta,"",TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000026
t0000032,Superphylum,Charophyta,Caval.-Sm.,TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000032
t0000060,Phylum,Nitrospira,Garrity & Holt 2001,TRUE,TRUE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000060
t0000069,Phylum,Euglenozoa,"Cavalier-Smith, 1981",TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000069
t0000080,Phylum,Heliozoa,"",TRUE,TRUE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000080
t0000092,Phylum,Charophyta,"",TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000092
t0000093,Phylum,Chlorophyta,Pascher,TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000093
t0000105,Phylum,Ctenophora,"Eschscholtz, 1829",TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000105
t0000114,Phylum,Micrognathozoa,"",TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000114
t0000122,Phylum,Placozoa,"Grell, 1971",TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000122
t0000137,Subphylum,Lobosa,"",TRUE,TRUE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000137
t0000175,Subphylum,Anthozoa,"",TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000175
t0000191,Infraphylum,Apicomplexa,"",TRUE,TRUE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000191
t0000204,Superclass,Chondrichthyes,"",TRUE,TRUE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000204
t0000265,Class,Nitrospira,Garrity & Holt 2001,TRUE,TRUE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000265
t0000466,Class,Anthozoa,"Ehrenberg, 1834",TRUE,FALSE,FALSE,學名重複,https://taicol.tw/zh-hant/taxon/t0000466
