taxon_id,rank,simple_name,reason,TC_URL
t0009100,Genus,× Chrinephrium,高階層欄位出現多詞格式,https://taicol.tw/zh-hant/taxon/t0009100
t0009100,Genus,× Chrinephrium,大小寫錯誤,https://taicol.tw/zh-hant/taxon/t0009100
t0025573,Genus,× Brassocattleya,高階層欄位出現多詞格式,https://taicol.tw/zh-hant/taxon/t0025573
t0025573,Genus,× Brassocattleya,大小寫錯誤,https://taicol.tw/zh-hant/taxon/t0025573
t0025574,Genus,× Brassolaelia,高階層欄位出現多詞格式,https://taicol.tw/zh-hant/taxon/t0025574
t0025574,Genus,× Brassolaelia,大小寫錯誤,https://taicol.tw/zh-hant/taxon/t0025574
t0025575,Genus,× Brassolaeliocattleya,高階層欄位出現多詞格式,https://taicol.tw/zh-hant/taxon/t0025575
t0025575,Genus,× Brassolaeliocattleya,大小寫錯誤,https://taicol.tw/zh-hant/taxon/t0025575
t0025661,Genus,× Epiphronitis,高階層欄位出現多詞格式,https://taicol.tw/zh-hant/taxon/t0025661
t0025661,Genus,× Epiphronitis,大小寫錯誤,https://taicol.tw/zh-hant/taxon/t0025661
t0025939,Genus,× Vandanthe,高階層欄位出現多詞格式,https://taicol.tw/zh-hant/taxon/t0025939
t0025939,Genus,× Vandanthe,大小寫錯誤,https://taicol.tw/zh-hant/taxon/t0025939
t0026413,Subspecies,Crepidomanes minutum subsp. proliferum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0026413
t0033619,Subspecies,Aerobryopsis subdivergens subsp. scariosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0033619
t0033661,Subspecies,Ainsliaea latifolia subsp. henryi,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0033661
t0033671,Subspecies,Akebia trifoliata subsp. australis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0033671
t0040292,Subspecies,Asplenium scolopendrium subsp. japonicum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0040292
t0040478,Subspecies,Bryum blandum subsp. handelii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0040478
t0040514,Subspecies,Bulbostylis barbata subsp. pulchella,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0040514
t0040516,Subspecies,Bulbostylis densa subsp. afromontana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0040516
t0046123,Subspecies,Helwingia japonica subsp. taiwaniana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0046123
t0052534,Subspecies,Adenophora morrisonensis subsp. uehatae,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0052534
t0052785,Subspecies,Calogyne pilosa subsp. chinensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0052785
t0052841,Subspecies,Carex manca subsp. takasagoana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0052841
t0052929,Subspecies,Cerastium fontanum subsp. vulgare,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0052929
t0053052,Subspecies,Clematis parviloba subsp. bartlettii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0053052
t0053153,Subspecies,Crateva adansonii subsp. formosensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0053153
t0053266,Subspecies,Cyperus malaccensis subsp. monophyllus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0053266
t0053447,Subspecies,Droguetia iners subsp. urticoides,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0053447
t0053538,Subspecies,Epilobium brevifolium subsp. trichoneurum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0053538
t0054069,Subspecies,Ipomoea pes-caprae subsp. brasiliensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0054069
t0054213,Subspecies,Leptochloa fusca subsp. fascicularis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0054213
t0054214,Subspecies,Leptochloa fusca subsp. uninervia,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0054214
t0054302,Subspecies,Lobelia alsinoides subsp. hancei,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0054302
t0054422,Subspecies,Melaleuca cajuputi subsp. cumingiana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0054422
t0055045,Subspecies,Raphanus raphanistrum subsp. sativus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0055045
t0055100,Subspecies,Rhynchospora rugosa subsp. brownii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0055100
t0055189,Subspecies,Sagittaria guayanensis subsp. lappula,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0055189
t0055303,Subspecies,Sedum japonicum subsp. oryzifolium,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0055303
t0055375,Subspecies,Smilax bracteata subsp. verruculosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0055375
t0057253,Subspecies,Diphyscium chiapense subsp. unipapillosum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057253
t0057292,Subspecies,Dryopteris wallichiana subsp. pachyphylla,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057292
t0057293,Subspecies,Dryopteris wallichiana subsp. wallichiana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057293
t0057314,Subspecies,Eleocharis congesta subsp. japonica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057314
t0057329,Subspecies,Epipactis helleborine subsp. helleborine,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057329
t0057484,Subspecies,Vicia sativa subsp. nigra,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057484
t0057490,Subspecies,Vigna unguiculata subsp. sesquipedalis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057490
t0057491,Subspecies,Viola inconspicua subsp. nagasakiensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057491
t0057921,Subspecies,Garovaglia plicata subsp. punctidens,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057921
t0057934,Subspecies,Geranium nepalense subsp. thunbergii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057934
t0057950,Subspecies,Gnaphalium luteoalbum subsp. affine,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057950
t0057989,Subspecies,Helianthus debilis subsp. cucumerifolius,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0057989
t0058043,Subspecies,Hylodesmum podocarpum subsp. oxyphyllum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058043
t0058061,Subspecies,Hypnum subimponens subsp. ulophyllum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058061
t0058075,Subspecies,Ipomoea carnea subsp. fistulosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058075
t0058149,Subspecies,Lespedeza thunbergii subsp. formosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058149
t0058220,Subspecies,Schoenoplectiella mucronata subsp. robusta,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058220
t0058221,Subspecies,Schoenoplectiella supina subsp. lateriflora,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058221
t0058237,Subspecies,Selaginella helvetica subsp. pseudonipponica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058237
t0058273,Subspecies,Sorghum bicolor subsp. bicolor,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058273
t0058341,Subspecies,Tadehagi triquetrum subsp. pseudotriquetrum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058341
t0058487,Subspecies,Macrocoma tenue subsp. sullivantii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058487
t0058533,Subspecies,Meteorium subpolytrichum subsp. horikawa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058533
t0058847,Subspecies,Codonopsis javanica subsp. japonica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058847
t0058863,Subspecies,Coriaria japonica subsp. intermedia,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058863
t0058911,Subspecies,Cyperus sesquiflorus subsp. cylindricus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058911
t0058912,Subspecies,Cyperus imbricatus subsp. elongatus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058912
t0058992,Subspecies,Phyllachora dolichogena subsp. phaseolina,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0058992
t0059004,Subspecies,Pilea aquarum subsp. brevicornuta,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0059004
t0059092,Subspecies,Portulaca pilosa subsp. pilosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0059092
t0059119,Subspecies,Pteridium aquilinum subsp. japonicum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0059119
t0059120,Subspecies,Pteridium aquilinum subsp. wightianum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0059120
t0059129,Subspecies,Pterobryopsis orientalis subsp. yuennanensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0059129
t0069833,Subspecies,Youngia japonica subsp. longiflora,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0069833
t0075720,Subspecies,Saccolabiopsis viridiflora subsp. taiwaniana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0075720
t0084577,Subspecies,Adenophora morrisonensis subsp. morrisonensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084577
t0084578,Subspecies,Ardisia cornudentata subsp. cornudentata,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084578
t0084579,Subspecies,Ardisia cornudentata subsp. morrisonensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084579
t0084580,Subspecies,Asystasia gangetica subsp. gangetica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084580
t0084583,Subspecies,Bryoxiphium norvegicum subsp. japonicum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084583
t0084584,Subspecies,Buxus microphylla subsp. sinica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084584
t0084585,Subspecies,Capparis sikkimensis subsp. formosana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084585
t0084586,Subspecies,Cephalozia catenulata subsp. nipponica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084586
t0084587,Subspecies,Chara vulgaris subsp. squamosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084587
t0084588,Subspecies,Cheilosporum cultratum subsp. multifidum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084588
t0084589,Subspecies,Chenopodium acuminatum subsp. virgatum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084589
t0084590,Subspecies,Circaea alpina subsp. imaicola,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084590
t0084591,Subspecies,Cordia aspera subsp. kanehirai,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084591
