taxon_id,rank,parent_taxon_id,simple_name,alien_type,is_in_taiwan,protected,redlist,iucn,sensitive,groupID,reason,check_column,TC_URL
t0026357,Species,t0008976,Equisetum ramosissimum,native,TRUE,"",LC,LC,"",t0026357,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0026357
t0103465,Subspecies,t0026357,Equisetum ramosissimum subsp. debile,native,TRUE,"",LC,LC,"",t0026357,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0103465
t0105591,Subspecies,t0026357,Equisetum ramosissimum subsp. ramosissimum,native,TRUE,"",LC,"","",t0026357,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0105591
t0026413,Subspecies,t0026414,Crepidomanes minutum subsp. proliferum,native,TRUE,"","","","",t0026414,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0026413
t0026414,Species,t0008994,Crepidomanes minutum,native,TRUE,"",LC,"","",t0026414,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0026414
t0101196,Subspecies,t0026414,Crepidomanes minutum subsp. minutum,native,TRUE,"",LC,"","",t0026414,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0101196
t0027212,Species,t0021294,Junonia almana,native,TRUE,"",LC,LC,"",t0027212,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0027212
t0107095,Subspecies,t0027212,Junonia almana almana,native,TRUE,"",LC,"","",t0027212,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0107095
t0027215,Species,t0021294,Junonia orithya,native,TRUE,"",LC,LC,"",t0027215,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0027215
t0107092,Subspecies,t0027215,Junonia orithya orithya,native,TRUE,"",LC,"","",t0027215,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0107092
t0027309,Species,t0021510,Lanius sphenocercus,native,TRUE,"","",LC,"",t0027309,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0027309
t0105576,Subspecies,t0027309,Lanius sphenocercus sphenocercus,native,TRUE,"","","","",t0027309,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0105576
t0027763,Species,t0022301,Mantis religiosa,native,TRUE,"","",LC,"",t0027763,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0027763
t0102023,Subspecies,t0027763,Mantis religiosa siedleckii,"",TRUE,"","","","",t0027763,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102023
t0027769,Species,t0022308,Mareca strepera,native,TRUE,"","",LC,"",t0027769,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0027769
t0101024,Subspecies,t0027769,Mareca strepera strepera,native,TRUE,"","","","",t0027769,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101024
t0027801,Species,t0022356,Mauremys mutica,native,TRUE,I,CR,CR,重度,t0027801,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0027801
t0102401,Subspecies,t0027801,Mauremys mutica mutica,native,TRUE,I,CR,"","",t0027801,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102401
t0027875,Species,t0022469,Melanitis leda,native,TRUE,"",VU,LC,"",t0027875,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0027875
t0122530,Subspecies,t0027875,Melanitis leda leda,native,TRUE,"",VU,"","",t0027875,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0122530
t0027879,Species,t0022474,Melanoides tuberculata,native,TRUE,"","",LC,"",t0027879,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0027879
t0085886,Subspecies,t0027879,Melanoides tuberculatus formosensis,native,TRUE,"","","","",t0027879,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0085886
t0028473,Species,t0018024,Vanessa cardui,native,TRUE,"",LC,LC,"",t0028473,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0028473
t0107097,Subspecies,t0028473,Vanessa cardui cardui,native,TRUE,"",LC,"","",t0028473,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0107097
t0029207,Species,t0019818,Ficedula narcissina,native,TRUE,"",LC,LC,"",t0029207,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0029207
t0105574,Subspecies,t0029207,Ficedula narcissina narcissina,native,TRUE,"",LC,"","",t0029207,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0105574
t0030542,Species,t0011948,Circus spilonotus,native,TRUE,II,"",LC,"",t0030542,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0030542
t0105577,Subspecies,t0030542,Circus spilonotus spilonotus,native,TRUE,II,"","","",t0030542,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0105577
t0032013,Species,t0014889,Plestiodon chinensis,native,TRUE,"",LC,LC,"",t0032013,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0032013
t0102061,Subspecies,t0032013,Plestiodon chinensis chinensis,native,TRUE,"",LC,"","",t0032013,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102061
t0102062,Subspecies,t0032013,Plestiodon chinensis formosensis,native,TRUE,"",LC,"","",t0032013,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102062
t0032116,Species,t0015116,Prionailurus bengalensis,native,TRUE,II,EN,LC,輕度,t0032116,保育等級不同,protected,https://taicol.tw/zh-hant/taxon/t0032116
t0105762,Subspecies,t0032116,Prionailurus bengalensis euptilurus,native,TRUE,I,EN,"","",t0032116,保育等級不同,protected,https://taicol.tw/zh-hant/taxon/t0105762
t0032116,Species,t0015116,Prionailurus bengalensis,native,TRUE,II,EN,LC,輕度,t0032116,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0032116
t0105762,Subspecies,t0032116,Prionailurus bengalensis euptilurus,native,TRUE,I,EN,"","",t0032116,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0105762
t0032350,Species,t0093530,Pterorhinus chinensis,invasive,TRUE,"","",LC,"",t0032350,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0032350
t0101086,Subspecies,t0032350,Pterorhinus chinensis chinensis,invasive,TRUE,"","","","",t0032350,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101086
t0032417,Species,t0015724,Rallus aquaticus,native,TRUE,"","",LC,"",t0032417,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0032417
t0102330,Subspecies,t0032417,Rallus aquaticus korejewi,native,TRUE,"","","","",t0032417,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102330
t0032877,Species,t0016486,Sinotaia quadrata,native,TRUE,"","",LC,"",t0032877,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0032877
t0086252,Subspecies,t0032877,Sinotaia quadrata aeruginosa,native,TRUE,"","","","",t0032877,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0086252
t0086253,Subspecies,t0032877,Sinotaia quadrata heudei,native,TRUE,"","","","",t0032877,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0086253
t0033180,Species,t0017035,Synoicus chinensis,native,TRUE,II,EN,LC,輕度,t0033180,保育等級不同,protected,https://taicol.tw/zh-hant/taxon/t0033180
t0100994,Subspecies,t0033180,Synoicus chinensis chinensis,native,TRUE,"",EN,"","",t0033180,保育等級不同,protected,https://taicol.tw/zh-hant/taxon/t0100994
t0033180,Species,t0017035,Synoicus chinensis,native,TRUE,II,EN,LC,輕度,t0033180,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0033180
t0100994,Subspecies,t0033180,Synoicus chinensis chinensis,native,TRUE,"",EN,"","",t0033180,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0100994
t0036471,Species,t0015027,Pomacea bridgesii,cultured,TRUE,"","",LC,"",t0036471,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0036471
t0086143,Subspecies,t0036471,Pomacea bridgesii effusa,cultured,TRUE,"","","","",t0036471,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0086143
t0037173,Species,t0015500,Pseudoxenodon stejnegeri,native,TRUE,"",LC,LC,"",t0037173,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0037173
t0100974,Subspecies,t0037173,Pseudoxenodon stejnegeri stejnegeri,native,TRUE,"",LC,"","",t0037173,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0100974
t0037925,Species,t0015939,Rissa tridactyla,native,TRUE,"","",VU,"",t0037925,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0037925
t0102331,Subspecies,t0037925,Rissa tridactyla pollicaris,native,TRUE,"",,"","",t0037925,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0102331
t0037925,Species,t0015939,Rissa tridactyla,native,TRUE,"","",VU,"",t0037925,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0037925
t0102331,Subspecies,t0037925,Rissa tridactyla pollicaris,native,TRUE,"",,"","",t0037925,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102331
t0038899,Species,t0016388,Sibynophis chinensis,native,TRUE,"",LC,LC,輕度,t0038899,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0038899
t0102407,Subspecies,t0038899,Sibynophis chinensis chinensis,native,TRUE,"",LC,"","",t0038899,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102407
t0039351,Species,t0016587,Sousa chinensis,native,TRUE,I,"",VU,"",t0039351,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0039351
t0100982,Subspecies,t0039351,Sousa chinensis taiwanensis,native,TRUE,I,"","","",t0039351,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0100982
t0040513,Species,t0023340,Bulbostylis barbata,native,TRUE,"",LC,"","",t0040513,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0040513
t0040514,Subspecies,t0040513,Bulbostylis barbata subsp. pulchella,native,TRUE,"",LC,DD,"",t0040513,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0040514
t0040515,Species,t0023340,Bulbostylis densa,native,TRUE,"",LC,LC,"",t0040515,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0040515
t0040516,Subspecies,t0040515,Bulbostylis densa subsp. afromontana,native,TRUE,"",LC,"","",t0040515,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0040516
t0046741,Species,t0017177,Takydromus kuehnei,native,TRUE,"",LC,LC,"",t0046741,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0046741
t0102402,Subspecies,t0046741,Takydromus kuehnei kuehnei,native,TRUE,"",LC,"","",t0046741,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102402
t0047934,Species,t0017762,Trimeresurus stejnegeri,native,TRUE,"",LC,LC,"",t0047934,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0047934
t0102408,Subspecies,t0047934,Trimeresurus stejnegeri stejnegeri,native,TRUE,"",LC,"","",t0047934,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102408
t0052685,Species,t0023255,Balanophora fungosa,native,TRUE,"",VU,"",輕度,t0052685,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0052685
t0106569,Subspecies,t0052685,Balanophora fungosa subsp. fungosa,"",TRUE,"","","","",t0052685,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0106569
t0053223,Species,t0023606,Cyclocodon lancifolius,native,TRUE,"",LC,"","",t0053223,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0053223
t0106422,Subspecies,t0053223,Cyclocodon lancifolius subsp. lancifolius,"",TRUE,"","","","",t0053223,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0106422
t0053251,Species,t0023618,Cyperus alternifolius,naturalized,TRUE,"",,LC,"",t0053251,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0053251
t0106540,Subspecies,t0053251,Cyperus alternifolius subsp. flabelliformis,naturalized,TRUE,"","","","",t0053251,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0106540
t0053251,Species,t0023618,Cyperus alternifolius,naturalized,TRUE,"",,LC,"",t0053251,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0053251
t0106540,Subspecies,t0053251,Cyperus alternifolius subsp. flabelliformis,naturalized,TRUE,"","","","",t0053251,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0106540
t0053537,Species,t0023781,Epilobium amurense,native,TRUE,"",LC,"","",t0053537,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0053537
t0106552,Subspecies,t0053537,Epilobium amurense subsp. amurense,"",TRUE,"","","","",t0053537,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0106552
t0053978,Species,t0024041,Hylodesmum podocarpum,native,TRUE,"",LC,"","",t0053978,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0053978
t0058043,Subspecies,t0053978,Hylodesmum podocarpum subsp. oxyphyllum,native,TRUE,"",LC,"","",t0053978,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0058043
t0102103,Subspecies,t0053978,Hylodesmum podocarpum subsp. podocarpum,native,TRUE,"",VU,"",輕度,t0053978,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0102103
t0054212,Species,t0095805,Diplachne fusca,native,TRUE,"",LC,LC,"",t0054212,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0054212
t0054213,Subspecies,t0054212,Leptochloa fusca subsp. fascicularis,naturalized,TRUE,"",,LC,"",t0054212,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0054213
t0054214,Subspecies,t0054212,Leptochloa fusca subsp. uninervia,naturalized,TRUE,"",,"","",t0054212,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0054214
t0054212,Species,t0095805,Diplachne fusca,native,TRUE,"",LC,LC,"",t0054212,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0054212
t0054213,Subspecies,t0054212,Leptochloa fusca subsp. fascicularis,naturalized,TRUE,"",,LC,"",t0054212,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0054213
t0054214,Subspecies,t0054212,Leptochloa fusca subsp. uninervia,naturalized,TRUE,"",,"","",t0054212,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0054214
t0028581,Subspecies,t0056757,Ypthima esakii wangi,native,TRUE,"","","","",t0056757,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0028581
