taxonUUID,taxonRank,simplifiedScientificName,endemism,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,sensitiveCategory,reason,TT_URL
141f9909-7470-46b8-8943-c474230b94f4,species,Ectostroma oryzae,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/141f9909-7470-46b8-8943-c474230b94f4
48d47ce2-4a32-4094-8ddd-47938c12f875,species,Isthmotricladia gombakiensis,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/48d47ce2-4a32-4094-8ddd-47938c12f875
62877461-af8f-4dd5-826f-6f26f19d92ee,species,Scutisporus brunneus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/62877461-af8f-4dd5-826f-6f26f19d92ee
c4e2a4e3-89b4-485c-83c2-2bd1093ad78a,species,Spegazzinia sundara,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/c4e2a4e3-89b4-485c-83c2-2bd1093ad78a
f838e73e-58e5-4b70-b353-704866421fd5,species,Spegazzinia deightonii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/f838e73e-58e5-4b70-b353-704866421fd5
b3bb4468-a896-4fe0-97c5-0db437c3b510,species,Naganishia albida,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/b3bb4468-a896-4fe0-97c5-0db437c3b510
abcf389a-6b0d-4677-8c45-140fdb8180bf,species,Cryptococcus neoformans,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/abcf389a-6b0d-4677-8c45-140fdb8180bf
9a3f9c34-ee53-46e9-ae35-875a0817cf46,species,Cryptococcus magnus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/9a3f9c34-ee53-46e9-ae35-875a0817cf46
2fc04a61-791c-40ca-9bbc-a3d921dde034,species,Cryptococcus flavus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/2fc04a61-791c-40ca-9bbc-a3d921dde034
a6c62c7f-0fc2-4bb4-ab75-e5f0c6dfcc4c,species,Cryptococcus luteolus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/a6c62c7f-0fc2-4bb4-ab75-e5f0c6dfcc4c
f13b8f71-117e-477f-a3f5-b77d6b4c6a0c,species,Cryptococcus laurentii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/f13b8f71-117e-477f-a3f5-b77d6b4c6a0c
258bb27f-2d04-4183-a091-b5659faba001,species,Coronosphaera mediterranea,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/258bb27f-2d04-4183-a091-b5659faba001
ade8ec95-3d1c-478f-af4c-bd9abc2787e5,species,Florisphaera profunda,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/ade8ec95-3d1c-478f-af4c-bd9abc2787e5
ac3f998e-5799-4370-9996-81c4ce40b24b,species,Sporotrichum aurantiacum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/ac3f998e-5799-4370-9996-81c4ce40b24b
645a2a19-c99c-4649-b954-4462b6f111bd,species,Acaromyces ingoldii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/645a2a19-c99c-4649-b954-4462b6f111bd
fb5b2900-68be-4c42-8d63-0d3e570cadbf,species,Wiesneriomyces laurinus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/fb5b2900-68be-4c42-8d63-0d3e570cadbf
04d877f8-bca8-41cf-9bf4-5f9885de23d9,infraspecies,Cryptococcus neoformans sinensis,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/04d877f8-bca8-41cf-9bf4-5f9885de23d9
da9c58ad-75cc-4f96-b38f-69588105dd3f,species,Theophormis callipilium,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/da9c58ad-75cc-4f96-b38f-69588105dd3f
9231f03f-8a03-40e7-b823-795ecaad36ab,species,Theopilium tricostatum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/9231f03f-8a03-40e7-b823-795ecaad36ab
92865cdf-d0ca-4181-bdf6-6fd02f438fb6,species,Trichogalumna nipponica,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/92865cdf-d0ca-4181-bdf6-6fd02f438fb6
8369c7c1-8781-48e4-b994-db3110b97168,infraspecies,Florisphaera profunda elongata,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/8369c7c1-8781-48e4-b994-db3110b97168
711fef16-0999-46ca-a045-ecd23bc63ddd,infraspecies,Florisphaera profunda profunda,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/711fef16-0999-46ca-a045-ecd23bc63ddd
fd6dd3a4-8602-42e5-ad3f-c6fcf70a9bbc,species,Kephyrion rubri-claustri,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/fd6dd3a4-8602-42e5-ad3f-c6fcf70a9bbc
634b0241-b580-42bb-90a8-9299d87fd8df,species,Odontella regia,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/634b0241-b580-42bb-90a8-9299d87fd8df
84f44b31-d713-4ce7-a62d-ca22c159943f,species,Tetraplektron laevis,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/84f44b31-d713-4ce7-a62d-ca22c159943f
9773b8e1-b5ac-4460-b327-1e43c022519c,species,Trichodesmium hildebrandtii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/9773b8e1-b5ac-4460-b327-1e43c022519c
523b896e-0cb1-428f-8ea6-c50a9cb780d0,species,Trichodesmium thiebautii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/523b896e-0cb1-428f-8ea6-c50a9cb780d0
f66de29d-6bf5-4d50-b8d4-3b982fcccd97,species,Centritractus belanophorus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/f66de29d-6bf5-4d50-b8d4-3b982fcccd97
122ad365-7a86-4dbb-b93a-fe69ce2dc7dc,species,Centritractus brunneus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/122ad365-7a86-4dbb-b93a-fe69ce2dc7dc
