taxonUUID,taxonRank,kingdom,taiCOLNameCode,tfNameCode,simplifiedScientificName,scientificName,reason,number_of_occurrence,TT_URL
d419e737-9e98-443d-877f-f3d5e09b9cf3,subclass,Plantae,t0000562,"",Psilotidae,Psilotidae,taiCOLNameCode重複,4946,https://taxatree.tbn.org.tw/taxa/d419e737-9e98-443d-877f-f3d5e09b9cf3
c85b5302-26d6-4fdd-be70-b3e39fc1c417,subclass,Plantae,t0000562,"",Ophioglossidae,Ophioglossidae,taiCOLNameCode重複,1843,https://taxatree.tbn.org.tw/taxa/c85b5302-26d6-4fdd-be70-b3e39fc1c417
50e00070-143f-46d8-966f-0211c21f0ace,family,Plantae,t0002323,"",Dioscoreaceae,Dioscoreaceae,taiCOLNameCode重複,8243,https://taxatree.tbn.org.tw/taxa/50e00070-143f-46d8-966f-0211c21f0ace
dc2848e6-48dd-47c5-a543-0e5325c6cf8a,family,Plantae,t0002323,"",Taccaceae,Taccaceae,taiCOLNameCode重複,56,https://taxatree.tbn.org.tw/taxa/dc2848e6-48dd-47c5-a543-0e5325c6cf8a
874d9919-9813-470a-8973-fb07926d7ba1,family,Fungi,t0003454,"",Polyporaceae,Polyporaceae,taiCOLNameCode重複,1447,https://taxatree.tbn.org.tw/taxa/874d9919-9813-470a-8973-fb07926d7ba1
4591e472-9f58-42c4-ba74-609157e53218,family,Fungi,t0003454,"",Ganodermataceae,Ganodermataceae,taiCOLNameCode重複,91,https://taxatree.tbn.org.tw/taxa/4591e472-9f58-42c4-ba74-609157e53218
b82514b7-c546-4bb9-9355-6311fd668c99,genus,Animalia,t0021713,"",Leptoseris,Leptoseris,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/b82514b7-c546-4bb9-9355-6311fd668c99
9083032f-70c9-4024-9c70-f5664bb079dc,genus,Animalia,t0021713,"",Leptoseris,Leptoseris,taiCOLNameCode重複,200,https://taxatree.tbn.org.tw/taxa/9083032f-70c9-4024-9c70-f5664bb079dc
ce3a1763-c978-4c59-9982-7c79f403a2e9,genus,Animalia,t0012683,"",Dacrypohanes,Dacrypohanes,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/ce3a1763-c978-4c59-9982-7c79f403a2e9
de40d9ee-a14c-44cb-8cc0-f8e4f18c7952,genus,Animalia,t0006949,"",Karachiota,Karachiota,taiCOLNameCode重複,2,https://taxatree.tbn.org.tw/taxa/de40d9ee-a14c-44cb-8cc0-f8e4f18c7952
