taxonUUID,taxonRank,kingdom,taiCOLNameCode,tfNameCode,simplifiedScientificName,scientificName,reason,number_of_occurrence,TT_URL
9e136f9a-4948-4d37-b12b-36ac4bd2a77d,family,Animalia,t0005959,"",Euphyllidae,Euphyllidae,taiCOLNameCode重複,339,https://taxatree.tbn.org.tw/taxa/9e136f9a-4948-4d37-b12b-36ac4bd2a77d
69d22022-497b-4d3d-801f-90fbe5f6e641,genus,Animalia,t0010984,"",Bothrocalvia,Bothrocalvia,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/69d22022-497b-4d3d-801f-90fbe5f6e641
3fbe0614-f2e1-49d4-8ca5-c3dfced31df5,genus,Animalia,t0008839,"",Epiclinata,Epiclinata,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/3fbe0614-f2e1-49d4-8ca5-c3dfced31df5
60a1284f-2d67-40d0-a564-4c48343c5328,genus,Animalia,t0008839,"",Tituria,Tituria,taiCOLNameCode重複,14,https://taxatree.tbn.org.tw/taxa/60a1284f-2d67-40d0-a564-4c48343c5328
3a518468-2783-44bc-a5b0-ab3403a05cd9,genus,Animalia,t0010066,"",Antherigona,Antherigona,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/3a518468-2783-44bc-a5b0-ab3403a05cd9
04c1611d-7dd4-41d9-9d2c-c48ef057cb89,genus,Animalia,t0017043,"",Synthesionyia,Synthesionyia,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/04c1611d-7dd4-41d9-9d2c-c48ef057cb89
8b21c0ca-efbb-426b-a447-ce62d03e81ef,species,Animalia,t0057733,"",Araneus ejusmodi,Araneus ejusmodi,taiCOLNameCode重複,58,https://taxatree.tbn.org.tw/taxa/8b21c0ca-efbb-426b-a447-ce62d03e81ef
84d0f09d-0d3d-4594-a6af-a7049a342f88,species,Animalia,t0072113,"",Araneus viridiventris,Araneus viridiventris,taiCOLNameCode重複,46,https://taxatree.tbn.org.tw/taxa/84d0f09d-0d3d-4594-a6af-a7049a342f88
a77617a9-7bba-4d86-ab51-8a86f6208520,species,Animalia,t0062922,"",Episinus yoshidai,Episinus yoshidai,taiCOLNameCode重複,4,https://taxatree.tbn.org.tw/taxa/a77617a9-7bba-4d86-ab51-8a86f6208520
b2786c30-2a82-4079-b4ad-e5d1b4826b63,species,Animalia,t0068320,"",Macrothele holsti,Macrothele holsti,taiCOLNameCode重複,8,https://taxatree.tbn.org.tw/taxa/b2786c30-2a82-4079-b4ad-e5d1b4826b63
937cd413-9508-46e7-a007-8b702af35dd8,species,Animalia,t0027715,"",Macrothele hungae,Macrothele hungae,taiCOLNameCode重複,50,https://taxatree.tbn.org.tw/taxa/937cd413-9508-46e7-a007-8b702af35dd8
baf0de17-634c-4fb1-923c-0c9584586670,species,Animalia,t0096359,"",Metadentobunus formosae,Metadentobunus formosae,taiCOLNameCode重複,1,https://taxatree.tbn.org.tw/taxa/baf0de17-634c-4fb1-923c-0c9584586670
e221a8f2-1e7b-44f0-abd7-0e971ef3cf7c,species,Animalia,t0037372,"",Ptychognathus hachijyoensis,Ptychognathus hachijyoensis,taiCOLNameCode重複,1,https://taxatree.tbn.org.tw/taxa/e221a8f2-1e7b-44f0-abd7-0e971ef3cf7c
40626b4d-9d56-4f7f-9339-33dbdbcc7365,species,Animalia,t0038839,"",Sesarmops impressum,Sesarmops impressum,taiCOLNameCode重複,616,https://taxatree.tbn.org.tw/taxa/40626b4d-9d56-4f7f-9339-33dbdbcc7365
2c5c80c6-316c-40a9-a08c-79117e79dfe4,species,Animalia,t0028529,"",Xanthias elegans,Xanthias elegans,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/2c5c80c6-316c-40a9-a08c-79117e79dfe4
543e2716-f259-4e31-9686-30cca39a083d,species,Animalia,t0078005,"",Charybdis acutifrons,Charybdis acutifrons,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/543e2716-f259-4e31-9686-30cca39a083d
1c706d82-258f-4831-a92a-fb3132f3f237,species,Animalia,t0047190,"",Thalamita crenata,Thalamita crenata,taiCOLNameCode重複,495,https://taxatree.tbn.org.tw/taxa/1c706d82-258f-4831-a92a-fb3132f3f237
b6cfb5ff-b9c7-48d0-8ab2-e7148cb8c553,species,Animalia,t0033341,"",Thalamita danae,Thalamita danae,taiCOLNameCode重複,168,https://taxatree.tbn.org.tw/taxa/b6cfb5ff-b9c7-48d0-8ab2-e7148cb8c553
c28e01e6-7e3d-4343-985b-ef7bd7c6f08e,species,Animalia,t0047193,"",Thalamita holthuisi,Thalamita holthuisi,taiCOLNameCode重複,4,https://taxatree.tbn.org.tw/taxa/c28e01e6-7e3d-4343-985b-ef7bd7c6f08e
0261cd3a-9715-4dee-b302-e352ce54562d,species,Animalia,t0047197,"",Thalamita prymna,Thalamita prymna,taiCOLNameCode重複,55,https://taxatree.tbn.org.tw/taxa/0261cd3a-9715-4dee-b302-e352ce54562d
d81d8935-7ca0-437a-bbae-f2c59c2d6a64,species,Animalia,t0083770,"",Periclimenes soror,Periclimenes soror,taiCOLNameCode重複,4,https://taxatree.tbn.org.tw/taxa/d81d8935-7ca0-437a-bbae-f2c59c2d6a64
677f203a-9ce6-4e97-94ac-69442fa254d2,species,Animalia,t0098285,"",Panulirus longipes,Panulirus longipes,taiCOLNameCode重複,44,https://taxatree.tbn.org.tw/taxa/677f203a-9ce6-4e97-94ac-69442fa254d2
29bdd62a-cc55-4171-a7c9-38df7a27849f,species,Animalia,t0030931,"",Dendrochirus brachypterus,Dendrochirus brachypterus,taiCOLNameCode重複,17,https://taxatree.tbn.org.tw/taxa/29bdd62a-cc55-4171-a7c9-38df7a27849f
12074a92-4267-4426-929e-b2b75faa29f1,species,Animalia,t0056818,"",Amoya pflaumi,Amoya pflaumi,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/12074a92-4267-4426-929e-b2b75faa29f1
9cbd20f4-c850-4bf4-8aaa-b2e38e674ee4,species,Animalia,t0057012,"",Aurigequula fasciatus,Aurigequula fasciatus,taiCOLNameCode重複,10,https://taxatree.tbn.org.tw/taxa/9cbd20f4-c850-4bf4-8aaa-b2e38e674ee4
e1c2ea0e-1cd5-4aca-b8ef-59a793511996,species,Animalia,t0031299,"",Onychostoma barbatulum,Onychostoma barbatulum,taiCOLNameCode重複,6708,https://taxatree.tbn.org.tw/taxa/e1c2ea0e-1cd5-4aca-b8ef-59a793511996
9948f41b-fc69-4e6f-849e-e8c2dacd825f,species,Animalia,t0030182,"",Carpodacus formosanus,Carpodacus formosanus,taiCOLNameCode重複,13931,https://taxatree.tbn.org.tw/taxa/9948f41b-fc69-4e6f-849e-e8c2dacd825f
afe841ea-276b-45ea-8b57-dc56f812c3ca,species,Animalia,t0096916,"",Eptesicus pachyomus,Eptesicus pachyomus,taiCOLNameCode重複,2910,https://taxatree.tbn.org.tw/taxa/afe841ea-276b-45ea-8b57-dc56f812c3ca
17b0f326-15c4-437b-8edd-7e3bca7210b1,species,Animalia,t0082954,"",Paphia undulata,Paphia undulata,taiCOLNameCode重複,12,https://taxatree.tbn.org.tw/taxa/17b0f326-15c4-437b-8edd-7e3bca7210b1
96ef0f92-9ff2-4815-80a6-8bbeaa3bf54f,species,Animalia,t0035913,"",Placamen chlorotica,Placamen chlorotica,taiCOLNameCode重複,2,https://taxatree.tbn.org.tw/taxa/96ef0f92-9ff2-4815-80a6-8bbeaa3bf54f
a41809f8-db03-42d1-9935-fd3e1b3b85e6,species,Animalia,t0076318,"",Bathytormus foveolatus,Bathytormus foveolatus,taiCOLNameCode重複,46,https://taxatree.tbn.org.tw/taxa/a41809f8-db03-42d1-9935-fd3e1b3b85e6
15f37547-68fe-4bf6-8204-1055270ba1ae,species,Animalia,t0033010,"",Spondylus squamosus,Spondylus squamosus,taiCOLNameCode重複,11,https://taxatree.tbn.org.tw/taxa/15f37547-68fe-4bf6-8204-1055270ba1ae
79e47ac2-346f-4b15-b257-33175d4f6861,species,Animalia,t0033010,"",Spondylus barbatus,Spondylus barbatus,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/79e47ac2-346f-4b15-b257-33175d4f6861
4172b6a1-fcf4-4c9c-80fb-204afd9b225b,species,Animalia,t0096619,"",Unio douglasiae,Unio douglasiae,taiCOLNameCode重複,42,https://taxatree.tbn.org.tw/taxa/4172b6a1-fcf4-4c9c-80fb-204afd9b225b
2a8a7a77-1778-4e64-acf5-3a3ca726ec86,species,Animalia,t0096913,"",Epitonium pallasii,Epitonium pallasii,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/2a8a7a77-1778-4e64-acf5-3a3ca726ec86
ba38cc06-f5d3-4141-b5bb-9132a048c9fa,species,Animalia,t0096335,"",Melanoides tuberculatus,Melanoides tuberculatus,taiCOLNameCode重複,420,https://taxatree.tbn.org.tw/taxa/ba38cc06-f5d3-4141-b5bb-9132a048c9fa
899082dc-033d-4c22-a016-731a6bbd7dbe,species,Animalia,t0078321,"",Chromodoris fidelis,Chromodoris fidelis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/899082dc-033d-4c22-a016-731a6bbd7dbe
a0b0e896-8b7b-4a4c-b753-5bc231306b3a,species,Animalia,t0078324,"",Chromodoris kuniei,Chromodoris kuniei,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/a0b0e896-8b7b-4a4c-b753-5bc231306b3a
1745c3cf-4d76-40ce-bcc4-abe875e3a5bf,species,Animalia,t0084262,"",Phyllidiella granulatus,Phyllidiella granulatus,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/1745c3cf-4d76-40ce-bcc4-abe875e3a5bf
7ce3fccc-fc0f-4e75-9c42-a29059cad517,species,Animalia,t0077686,"",Cellana eneagona,Cellana eneagona,taiCOLNameCode重複,1,https://taxatree.tbn.org.tw/taxa/7ce3fccc-fc0f-4e75-9c42-a29059cad517
25e5cecc-117d-4cd3-bfae-677e0db23f1a,species,Animalia,t0031318,"",Ophiocoma dentata,Ophiocoma dentata,taiCOLNameCode重複,26,https://taxatree.tbn.org.tw/taxa/25e5cecc-117d-4cd3-bfae-677e0db23f1a
ccaa3503-8c95-4bbd-abde-22401e8c3460,species,Animalia,t0036868,"",Protula magnifica,Protula magnifica,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/ccaa3503-8c95-4bbd-abde-22401e8c3460
43d98a29-e931-42a8-883a-d94a05e876d6,species,Animalia,t0099122,"",Themiste minor,Themiste minor,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/43d98a29-e931-42a8-883a-d94a05e876d6
e90f6958-579d-40f0-96e9-3790b324ba08,infraspecies,Animalia,t0096359,"",Metadentobunus formosae formosae,Metadentobunus formosae formosae,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/e90f6958-579d-40f0-96e9-3790b324ba08
