taxonUUID,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,subspecies,variety,form,cultigen,simplifiedScientificName,errortypes,TT_URL
7b0febf4-e3a9-4693-b195-76420d84c106,order,,,,Saporlegnia asterophora,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/7b0febf4-e3a9-4693-b195-76420d84c106
7a095c2b-c00c-410a-8c50-7a37d7c373dd,order,,,,Saporlegnia austrlis,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/7a095c2b-c00c-410a-8c50-7a37d7c373dd
2015599a-f542-4b2c-baf8-69ac741154d2,order,,,,Saporlegnia diclina,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/2015599a-f542-4b2c-baf8-69ac741154d2
8385238d-3285-4797-bce1-3511278e033a,order,,,,Saporlegnia ferax,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/8385238d-3285-4797-bce1-3511278e033a
526ba010-3d9d-4bf5-b5f9-1ac837b34ef4,order,,,,Saporlegnia formosana,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/526ba010-3d9d-4bf5-b5f9-1ac837b34ef4
cac7ec7c-6864-4b18-8d3b-07120ad83d77,order,,,,Saporlegnia parasitica,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/cac7ec7c-6864-4b18-8d3b-07120ad83d77
92fa83ca-3077-4dc0-8fe0-1d14d6a9f56f,order,,,,Saporlegnia subterranea,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/92fa83ca-3077-4dc0-8fe0-1d14d6a9f56f
85d52fc1-a328-48ed-8d4f-465340960efa,order,,,,Saporlegnia unispora,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/85d52fc1-a328-48ed-8d4f-465340960efa
5252dbeb-e1fb-4fbe-98d8-9ebad9c030a3,order,,,,Conidibolus coronatus,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/5252dbeb-e1fb-4fbe-98d8-9ebad9c030a3
d822a02b-6a5e-420b-9d3b-5bea5fa2c03b,order,,,,Uthramyces eqallocaulis,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/d822a02b-6a5e-420b-9d3b-5bea5fa2c03b
d65b4aeb-96a6-4a4c-a96b-36e7d14feefd,order,,,,Beltrania concurvispora,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/d65b4aeb-96a6-4a4c-a96b-36e7d14feefd
fdab48c1-480c-4363-a470-ff7fd95b2c16,order,,,,Beltrania rhombica,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/fdab48c1-480c-4363-a470-ff7fd95b2c16
fbe4c337-cd73-481a-9fc7-7a067d4779ba,order,,,,Beltrania querna,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/fbe4c337-cd73-481a-9fc7-7a067d4779ba
540fea81-9be1-42b2-adc5-17ebc15fb412,order,,,,Chalara hughesii,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/540fea81-9be1-42b2-adc5-17ebc15fb412
9e1ce1fb-c5ac-4926-a0f7-9bc765a4597b,order,,,,Chalara montellica,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/9e1ce1fb-c5ac-4926-a0f7-9bc765a4597b
64157a3c-09a8-4c5e-968a-767dc0f287e3,order,,,,Chalara musae,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/64157a3c-09a8-4c5e-968a-767dc0f287e3
974b10d9-33af-4f26-9ffd-31c5f912240b,order,,,,Chalara urceolata,,,,,,,,,高階層欄位出現多詞格式,https://taxatree.tbn.org.tw/taxa/974b10d9-33af-4f26-9ffd-31c5f912240b
