taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,variety,form,cultigen,nomenclaturalCode,reason,groupID,number_of_occurrence,TT_URL
fb046517-ee4f-4a57-b8e0-cfd786f8caf8,species,39458745-3727-4826-b1be-5bebac0ba13a,Animalia,Molpadia changi,"","","",ICN,命名法規錯誤的動物,,0,https://taxatree.tbn.org.tw/taxa/fb046517-ee4f-4a57-b8e0-cfd786f8caf8
5ebf4d82-da96-4f72-aade-171bf0aef2f0,species,39458745-3727-4826-b1be-5bebac0ba13a,Animalia,Molpadia roretzi,"","","",ICN,命名法規錯誤的動物,,0,https://taxatree.tbn.org.tw/taxa/5ebf4d82-da96-4f72-aade-171bf0aef2f0
0e5cfdad-25f7-49b5-8677-f735bcfc2613,species,87b883ed-533c-4c99-8130-feb6d8af8b3b,Animalia,Turbinaria frondens,"","","",ICN,命名法規錯誤的動物,,109,https://taxatree.tbn.org.tw/taxa/0e5cfdad-25f7-49b5-8677-f735bcfc2613
4838fb71-6c8c-46e8-81c0-38fed67d2230,species,87b883ed-533c-4c99-8130-feb6d8af8b3b,Animalia,Turbinaria irregularis,"","","",ICN,命名法規錯誤的動物,,80,https://taxatree.tbn.org.tw/taxa/4838fb71-6c8c-46e8-81c0-38fed67d2230
49e408b8-ce53-403b-99b4-8ef9bd3d42ea,species,87b883ed-533c-4c99-8130-feb6d8af8b3b,Animalia,Turbinaria mesenterina,"","","",ICN,命名法規錯誤的動物,,147,https://taxatree.tbn.org.tw/taxa/49e408b8-ce53-403b-99b4-8ef9bd3d42ea
ac1fb651-8757-4cc3-b277-d6755e080239,species,87b883ed-533c-4c99-8130-feb6d8af8b3b,Animalia,Turbinaria peltata,"","","",ICN,命名法規錯誤的動物,,88,https://taxatree.tbn.org.tw/taxa/ac1fb651-8757-4cc3-b277-d6755e080239
4a5f428f-1210-477d-9ae7-a693b1309150,species,87b883ed-533c-4c99-8130-feb6d8af8b3b,Animalia,Turbinaria reniformis,"","","",ICN,命名法規錯誤的動物,,95,https://taxatree.tbn.org.tw/taxa/4a5f428f-1210-477d-9ae7-a693b1309150
8a3c8b1e-1935-4849-b417-529f9652e77a,species,87b883ed-533c-4c99-8130-feb6d8af8b3b,Animalia,Turbinaria stellulata,"","","",ICN,命名法規錯誤的動物,,75,https://taxatree.tbn.org.tw/taxa/8a3c8b1e-1935-4849-b417-529f9652e77a
2c73d68e-6e62-4099-bbb6-91fb865fb5dd,species,1b413a63-2715-49f1-85be-0c50f68eff3e,Plantae,Limnophila excelsa,"","","",三名法、二名法,命名法規錯誤的植物,,0,https://taxatree.tbn.org.tw/taxa/2c73d68e-6e62-4099-bbb6-91fb865fb5dd
36ec7cee-ff65-463b-af41-6d73e4ce0dd6,species,1b413a63-2715-49f1-85be-0c50f68eff3e,Plantae,Limnophila ferocia,"","","",三名法、二名法,命名法規錯誤的植物,,0,https://taxatree.tbn.org.tw/taxa/36ec7cee-ff65-463b-af41-6d73e4ce0dd6
3f8e6ff3-b6a7-4d99-a4cd-e8fca81a0d0a,species,1b413a63-2715-49f1-85be-0c50f68eff3e,Plantae,Limnophila platystyla,"","","",三名法、二名法,命名法規錯誤的植物,,0,https://taxatree.tbn.org.tw/taxa/3f8e6ff3-b6a7-4d99-a4cd-e8fca81a0d0a
5e2d93c4-f1dd-4317-a11f-6f1b47cbd5f3,species,1b413a63-2715-49f1-85be-0c50f68eff3e,Plantae,Limnophila rantaizana,"","","",三名法、二名法,命名法規錯誤的植物,,0,https://taxatree.tbn.org.tw/taxa/5e2d93c4-f1dd-4317-a11f-6f1b47cbd5f3
3ea50080-70ec-4798-a6c9-f44cfd710312,species,1b413a63-2715-49f1-85be-0c50f68eff3e,Plantae,Limnophila inaequalis,"","","",三名法、二名法,命名法規錯誤的植物,,0,https://taxatree.tbn.org.tw/taxa/3ea50080-70ec-4798-a6c9-f44cfd710312
5ee67b19-6a0e-4a89-87dc-8b1a1653e072,species,1b413a63-2715-49f1-85be-0c50f68eff3e,Plantae,Limnophila nesonemoralis,"","","",三名法、二名法,命名法規錯誤的植物,,0,https://taxatree.tbn.org.tw/taxa/5ee67b19-6a0e-4a89-87dc-8b1a1653e072
a797b0eb-f4b9-4344-81fd-eccd58390bed,species,1b413a63-2715-49f1-85be-0c50f68eff3e,Plantae,Limnophila dorsolineata,"","","",三名法、二名法,命名法規錯誤的植物,,0,https://taxatree.tbn.org.tw/taxa/a797b0eb-f4b9-4344-81fd-eccd58390bed
c2f44dca-5d0b-44eb-849b-3e47403ea3b3,species,1b413a63-2715-49f1-85be-0c50f68eff3e,Plantae,Limnophila formosa,"","","",三名法、二名法,命名法規錯誤的植物,,0,https://taxatree.tbn.org.tw/taxa/c2f44dca-5d0b-44eb-849b-3e47403ea3b3
