taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,groupID,reason,check_column,filtered_values,number_of_occurrence,TT_URL
ce85e6b5-7895-4322-ab6f-5c8c5dfd69c7,infraspecies,00e3de5a-73c9-47e5-9fa1-3306881800e8,Plantae,Cheirostylis tortilacinia rubrifolia,原生 Native,"","資料缺乏（DD, Data Deficient）","",00e3de5a-73c9-47e5-9fa1-3306881800e8,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）",0,https://taxatree.tbn.org.tw/taxa/ce85e6b5-7895-4322-ab6f-5c8c5dfd69c7
00e3de5a-73c9-47e5-9fa1-3306881800e8,species,47c1aecf-d05e-42b0-97f6-59719cd7204e,Plantae,Cheirostylis tortilacinia,原生 Native,"","接近受脅（NT, Near Threatened）","",00e3de5a-73c9-47e5-9fa1-3306881800e8,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）",20,https://taxatree.tbn.org.tw/taxa/00e3de5a-73c9-47e5-9fa1-3306881800e8
d2f09a9a-5397-422d-875e-1f22a49e0154,infraspecies,00e3de5a-73c9-47e5-9fa1-3306881800e8,Plantae,Cheirostylis tortilacinia tortilacinia,原生 Native,"","接近受脅（NT, Near Threatened）","",00e3de5a-73c9-47e5-9fa1-3306881800e8,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）",0,https://taxatree.tbn.org.tw/taxa/d2f09a9a-5397-422d-875e-1f22a49e0154
544f3e5d-29db-43ae-92e3-7bef7fb030f1,infraspecies,00e3de5a-73c9-47e5-9fa1-3306881800e8,Plantae,Cheirostylis tortilacinia wutaiensis,原生 Native,"","","",00e3de5a-73c9-47e5-9fa1-3306881800e8,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）",3,https://taxatree.tbn.org.tw/taxa/544f3e5d-29db-43ae-92e3-7bef7fb030f1
06790136-4f2d-435d-8321-ba95fdaf2022,species,a1f3ffa3-2f5a-484f-8b3b-208a65b0b0f1,Plantae,Lilium longiflorum,原生 Native,"","","",06790136-4f2d-435d-8321-ba95fdaf2022,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;未評估（NE, Not Evaluated）",1041,https://taxatree.tbn.org.tw/taxa/06790136-4f2d-435d-8321-ba95fdaf2022
157c360a-8734-4573-bac0-dcf51499a195,infraspecies,06790136-4f2d-435d-8321-ba95fdaf2022,Plantae,Lilium longiflorum scabrum,原生 Native,"","資料缺乏（DD, Data Deficient）","",06790136-4f2d-435d-8321-ba95fdaf2022,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;未評估（NE, Not Evaluated）",305,https://taxatree.tbn.org.tw/taxa/157c360a-8734-4573-bac0-dcf51499a195
c7f93416-6044-4e58-b2f6-6e3817f58b0c,infraspecies,06790136-4f2d-435d-8321-ba95fdaf2022,Plantae,Lilium longiflorum longiflorum,原生 Native,"","未評估（NE, Not Evaluated）","",06790136-4f2d-435d-8321-ba95fdaf2022,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;未評估（NE, Not Evaluated）",44,https://taxatree.tbn.org.tw/taxa/c7f93416-6044-4e58-b2f6-6e3817f58b0c
163f13dd-975e-4589-a822-dcca68c50dc1,species,59a8e175-9433-45c7-ac2e-4e06d6668f06,Plantae,Bulbophyllum kuanwuense,原生 Native,"","","",163f13dd-975e-4589-a822-dcca68c50dc1,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;接近受脅（NT, Near Threatened）",3,https://taxatree.tbn.org.tw/taxa/163f13dd-975e-4589-a822-dcca68c50dc1
9dce2010-1de3-4636-9a98-1eb172958ad7,infraspecies,163f13dd-975e-4589-a822-dcca68c50dc1,Plantae,Bulbophyllum kuanwuense kuanwuense,原生 Native,"","瀕危（EN, Endangered）","",163f13dd-975e-4589-a822-dcca68c50dc1,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;接近受脅（NT, Near Threatened）",1,https://taxatree.tbn.org.tw/taxa/9dce2010-1de3-4636-9a98-1eb172958ad7
bcfd456a-a449-41b2-809d-173e09ea752b,infraspecies,163f13dd-975e-4589-a822-dcca68c50dc1,Plantae,Bulbophyllum kuanwuense peitawuense,原生 Native,"","接近受脅（NT, Near Threatened）","",163f13dd-975e-4589-a822-dcca68c50dc1,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;接近受脅（NT, Near Threatened）",0,https://taxatree.tbn.org.tw/taxa/bcfd456a-a449-41b2-809d-173e09ea752b
