TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,taicol_taxon_id,taicol_status
c81c2d9d-6ab5-461f-ba33-48c46fd7a98f,domain,"","",Bacteria,"list(taxon_id = ""t0000005""","taicol_name_status = ""accepted"""
205b1246-d120-41f3-a07d-d26ca09f3a56,domain,"","",Archaea,"list(taxon_id = ""t0000004""","taicol_name_status = ""accepted"""
329c5b3e-0af3-4e8b-917f-e62e6d4aea27,domain,"","",Eukaryota,"list(taxon_id = ""t0000001""","taicol_name_status = ""accepted"""
3ecc15e1-356d-430c-8f26-83196453a7de,order,Animalia,"",Lepadiformes,"list(taxon_id = ""t0001934""","taicol_name_status = ""not-accepted"""
c1ca5281-fbc2-4a86-b9ca-b7174c013b56,order,Animalia,"",Ibliformes,"list(taxon_id = ""t0001914""","taicol_name_status = ""not-accepted"""
df9001fb-71cd-492a-b43c-878a9146074c,order,Animalia,"",Stephanoberyciformes,[],
db627722-5fe7-4c21-b33b-32188dcc5477,order,Animalia,"",Saccopharyngiformes,[],
85381012-88ce-4d66-abaa-68c189d64877,order,Animalia,"",Bdelloidea,"list(taxon_id = ""t0001655""","taicol_name_status = ""accepted"""
181a0f3e-96eb-4f0e-8d0a-e3d83d74c5ff,order,Animalia,"",Chordodidae,"list(taxon_id = ""t0005620""","taicol_name_status = ""accepted"""
8134a025-b377-4d41-8da0-0f8c2448a247,family,Animalia,"",Halonoproctidae	,"list(taxon_id = ""t0006090""","taicol_name_status = ""accepted"""
9692b028-8e29-476b-a5b2-37e24474b2fa,family,Animalia,"",Caracanthidae,[],
95215eb9-7328-4aac-8d9e-ab38f6b496d2,family,Animalia,"",Ereuniidae,"list(taxon_id = ""t0005928""","taicol_name_status = ""not-accepted"""
c88f6db5-38e5-4d71-8840-9560272e1dc4,family,Animalia,"",Diplophidae,"list(taxon_id = ""t0005832""","taicol_name_status = ""not-accepted"""
38202de0-af13-4a46-a50e-3c226e9fd48f,family,Animalia,"",Ziphiidae,"list(taxon_id = ""t0004997""","taicol_name_status = ""not-accepted"""
0375650e-5b02-4ed6-857a-6f62e155856c,kingdom,Crenarchaeota,"",Crenarchaeota,"list(taxon_id = ""t0000038""","taicol_name_status = ""not-accepted"""
8739248e-2a6c-4498-a6dc-ec129ddf4ddd,kingdom,Euryarchaeota,"",Euryarchaeota,"list(taxon_id = ""t0000044""","taicol_name_status = ""accepted"""
45a03696-6726-406a-9094-cd87fabe502d,kingdom,Euglenoida,"",Euglenoida,"list(taxon_id = ""t0000136""","taicol_name_status = ""accepted"""
810e6be0-e193-4619-b10a-8bd2ac034923,kingdom,Percolozoa,"",Percolozoa,"list(taxon_id = ""t0000073""","taicol_name_status = ""accepted"""
05768301-6b69-4454-a60e-c72aa942e181,kingdom,Jakobea,"",Jakobea,"list(taxon_id = ""t0000299""","taicol_name_status = ""accepted"""
e9576fc5-03ff-41f3-abb6-c2376c18dd51,kingdom,Harosa,"",Harosa,"list(taxon_id = ""t0000016""","taicol_name_status = ""accepted"""
b97f04e6-e040-43c4-a957-4c1d09c2094f,kingdom,Cryptista,"",Cryptista,"list(taxon_id = ""t0000078""","taicol_name_status = ""accepted"""
51fc97cb-6f6d-4720-b109-7ee56f83ffa8,kingdom,Neolouka,"",Neolouka,"list(taxon_id = ""t0000138""","taicol_name_status = ""accepted"""
0ea931ec-3d72-4ea9-9848-f42a1f973bef,superphylum,Plantae,"",Streptophyta,"list(taxon_id = ""t0000021""","taicol_name_status = ""accepted"""
8973cf04-1c50-4e7f-9536-08fbdf4d101e,phylum,Plantae,"",Embryophyta,"list(taxon_id = ""t0000029""","taicol_name_status = ""accepted"""
84909b46-ad27-4df3-8a4a-f8892cba0249,subclass,Plantae,"",Lycopodiidae,[],
d71da4b4-6d1d-4c3f-b28b-3f2f6e7eb039,subclass,Plantae,"",Isoetidae,[],
d419e737-9e98-443d-877f-f3d5e09b9cf3,subclass,Plantae,"",Psilotidae,"list(taxon_id = ""t0000562""","taicol_name_status = ""not-accepted"""
450e1089-93fd-41ad-8627-8024da76405e,subclass,Plantae,"",Gnetidae,"list(taxon_id = ""t0000567""","taicol_name_status = ""accepted"""
b65e5700-b03e-404b-a8ca-baddd53067d2,order,Plantae,"",Welwitschiales,"list(taxon_id = ""t0002278""","taicol_name_status = ""accepted"""
d4538179-8c94-463b-9738-58a22848edf1,order,Plantae,"",Gnetales,"list(taxon_id = ""t0000785""","taicol_name_status = ""accepted"""
310e40e5-c407-40b5-9a2b-8dbeeac7d393,order,Plantae,"",Ephedrales,"list(taxon_id = ""t0002279""","taicol_name_status = ""accepted"""
e27fd325-f7c5-480f-8c01-63107b0ac9e7,order,Plantae,"",Canellales,"list(taxon_id = ""t0000790""","taicol_name_status = ""accepted"""
e9f4a72d-5067-4ce0-a3bd-3e6055fa1fdf,order,Plantae,"",Gunnerales,"list(taxon_id = ""t0000811""","taicol_name_status = ""accepted"""
35d0e9bd-3770-45f6-af67-f91c9a7a88ff,order,Plantae,"",Picramniales,"list(taxon_id = ""t0000826""","taicol_name_status = ""accepted"""
520cf167-010a-4996-b3c6-eea79bd2c347,order,Plantae,"",Berberidopsidales,"list(taxon_id = ""t0000831""","taicol_name_status = ""accepted"""
ecec58f7-2493-406c-bd68-a55d7d85221f,order,Plantae,"",Metteniusales,"list(taxon_id = ""t0002283""","taicol_name_status = ""accepted"""
f72678b2-17dd-4f44-9c78-1f2cf848a4c7,order,Plantae,"",Vahliales,"list(taxon_id = ""t0002284""","taicol_name_status = ""accepted"""
7de95bc3-65d0-49f5-8952-383737ee2ccc,order,Plantae,"",Escalloniales,"list(taxon_id = ""t0000843""","taicol_name_status = ""accepted"""
6d6b27e9-bc51-43e4-8721-3126b3dbe50b,order,Plantae,"",Bruniales,"list(taxon_id = ""t0000844""","taicol_name_status = ""accepted"""
ac707472-fd0b-4cd3-b126-1c83df54e512,order,Plantae,"",Paracryphiales,"list(taxon_id = ""t0000845""","taicol_name_status = ""accepted"""
02a78660-f20f-4920-9dfb-f54b02f721d5,family,Plantae,"",Matoniaceae,[],
d41085b4-8139-4c49-9e4d-44dd76ab0dc8,family,Plantae,"",Anemiaceae,[],
e2fb81ab-1d50-4391-b385-f5d4e5f33000,family,Plantae,"",Thyrsopteridaceae,[],
efced2d2-2d46-4ad0-9b6e-c68e93f32690,family,Plantae,"",Loxsomataceae,[],
b4b98498-3c09-4220-82b0-9635fa02c111,family,Plantae,"",Culcitaceae,[],
2f650ff5-45ce-4b30-8d74-3ed84192fa56,family,Plantae,"",Dicksoniaceae,[],
e8a4c204-9004-4a54-9ef1-a9a9bef6d939,family,Plantae,"",Metaxyaceae,[],
b8f55998-81db-48f0-9d2d-35cc175d80f0,family,Plantae,"",Lonchitidaceae,[],
0c8449f4-3a84-4471-8715-cc7478d5ad9f,family,Plantae,"",Saccolomataceae,[],
8f02a41a-bd3e-4410-a954-e6aae8a22cdd,family,Plantae,"",Cystodiaceae,[],
dc2848e6-48dd-47c5-a543-0e5325c6cf8a,family,Plantae,"",Taccaceae,"list(taxon_id = ""t0002323""","taicol_name_status = ""not-accepted"""
05857eb2-43e7-41d3-aeb3-f01a9f131a25,family,Plantae,"",Trigoniaceae,"list(taxon_id = ""t0003855""","taicol_name_status = ""accepted"""
a42d78d0-c5c2-4be4-9c4e-d984c5580630,family,Plantae,"",Rafflesiaceae,[],
a07b2eb3-9862-4b97-9e9a-36180ac6ad36,family,Plantae,"",Dipterocarpaceae,[],
1ba065a2-203b-4c1d-9872-79ea3a2d7827,family,Plantae,"",Eucommiaceae,[],
89f875d8-c9a1-46ce-b9e1-587930a0f813,family,Plantae,"",Hydrophyllaceae,[],
e749f097-667f-4585-a6ee-d5c02bc1a2f6,family,Plantae,"",Viburnaceae,[],
c557d4b9-1fba-444b-a0a8-1a411de6c8e8,phylum,Fungi,"",Zygomycota,"list(taxon_id = ""t0000089""","taicol_name_status = ""not-accepted"""
23ef91db-886c-4602-8dad-42241abb41df,phylum,Protozoa,"",Ciliophora,"list(taxon_id = ""t0000077""","taicol_name_status = ""accepted"""
