TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
8b43dfc2-5105-4b46-8787-54967af187f1,superdomain,"","",Cellular Organisms,,,
9e136f9a-4948-4d37-b12b-36ac4bd2a77d,family,Animalia,"",Euphyllidae,,,
b6fddb91-e510-4307-979a-3cbc73d6a880,family,Animalia,"",Faviidae,,,
9cb8e815-1653-431c-9a6f-88f548d511c6,family,Animalia,"",Agathiphylliidae,,,
4974f1b1-8c76-4da0-804e-76cb52d62f28,family,Animalia,"",Pectiniidae,,,
218a5001-5995-45ce-9e2a-29c021ee5ec8,family,Animalia,"",Roeslerstammida,,,
ccd11454-a14f-4ba4-81d9-b135e1ff7ba7,kingdom,Postgaardia,"",Postgaardia,,,
d08f6498-abca-4c04-893e-a6e7856d6199,kingdom,Glycomonada,"",Glycomonada,,,
9e5a3739-cd0f-48a2-9153-a26de92d6f51,kingdom,Tsukubamonadea,"",Tsukubamonadea,,,
64876e3f-78ad-4cd2-97b9-ec49a9243591,kingdom,Trichozoa,"",Trichozoa,,,
96754173-537c-4192-ad37-2b6b0b330541,kingdom,Haptista,"",Haptista,,,
c8f3b6cb-313b-4468-bb84-48c3fd8820b3,kingdom,Anaeromonada,"",Anaeromonada,,,
ac0aa1ee-ddab-47cf-9d12-98ab90b07dff,kingdom,Podiata,"",Podiata,,,
eb510f8d-b32e-45ab-80b9-32f69c9bed85,kingdom,Picobiliphyta,"",Picobiliphyta,,,
4b5dfd8d-fa42-4035-af1b-5babdcfa3520,kingdom,Telonemia,"",Telonemia,,,
65416715-6e97-48a4-a0e0-5aff900272ee,kingdom,Hemimastigophora,"",Hemimastigophora,,,
84d66a1e-e183-4a24-9764-62ad5c87ee24,superphylum,Plantae,"",Chlorophytes,,,
a058395d-ef45-4ba9-8944-e5796de70d58,subphylum,Plantae,"",Tracheophytina,,,
66d71e3a-fdee-41c1-9d86-1eaed0814d8a,superclass,Plantae,"",Lycophytes,,,
4660d8c7-a841-4c28-924a-873b42df4c96,superclass,Plantae,"",Euphyllophytes,,,
98b9a434-cbbf-4a74-9806-c0213bb4174b,class,Plantae,"",Isoetopsida,,,
1d77bcab-859b-482c-bf8e-054c4e432060,class,Plantae,"",Equisetopsida,,,
da05bb3c-78cd-40ab-9742-701cb694f50d,class,Plantae,"",Psilotopsida,,,
734b9beb-f241-4b6b-b450-778beee26c52,class,Plantae,"",Marattiopsida,,,
08da3c0e-e153-4090-b3d7-e3cfaf74bbcb,class,Plantae,"",Spermatopsida,,,
9f55a90a-7528-4b3a-94f0-e07a34fec72d,subclass,Plantae,"",Ginkgoidae,,,
9f17acad-5f6b-4eaf-bb23-ed3fbb15bec5,family,Plantae,"",Welwitschiaceae,,,
4c160bcf-daed-47f3-9c52-1d08fb0c115f,family,Plantae,"",Gnetaceae,,,
a397ba47-c0ba-4732-911f-2cf58b7ba5db,family,Plantae,"",Ephedraceae,,,
6199d3d6-a020-4a2a-973c-fa03bdd7689c,family,Plantae,"",Sciadopityaceae,,,
d8d07304-9933-4bca-a808-6edf44abf90c,family,Plantae,"",Hydatellaceae,,,
99041f0b-79b1-4ba6-84f3-46b29cc31dd3,family,Plantae,"",Austrobaileyaceae,,,
8abd9b69-4dec-41ae-b09a-7e4a67b38b9b,family,Plantae,"",Trimeniaceae,,,
a9654c79-e898-4911-a36e-df64ed4fd489,family,Plantae,"",Canellaceae,,,
6ef55651-81e3-44e9-a429-ef5a52a8b7b4,family,Plantae,"",Winteraceae,,,
bb44dd13-4329-4ae5-b59a-8c753da720c4,family,Plantae,"",Degeneriaceae,,,
d3d0bf01-ec00-4fed-8422-0d5583d981b7,family,Plantae,"",Himantandraceae,,,
