TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
882abf2e-ef80-4a35-ad78-f4019ec8e88b,phylum,Protozoa,"",Apicomplexa,1,t0002878,accepted
882abf2e-ef80-4a35-ad78-f4019ec8e88b,phylum,Protozoa,"",Apicomplexa,2,t0000191,accepted
87fe9b9d-8291-4f3c-8b27-480d2edad7c1,genus,Plantae,"",Culcita,1,t0012509,accepted
87fe9b9d-8291-4f3c-8b27-480d2edad7c1,genus,Plantae,"",Culcita,2,,
3f241cea-0223-4547-8fae-4d9804101c44,genus,Plantae,"",Olfersia,1,[],
3f241cea-0223-4547-8fae-4d9804101c44,genus,Plantae,"",Olfersia,2,[],
bacd5364-8080-4ee1-94a6-ac8760490824,genus,Plantae,"",Maxillaria,1,[],
bacd5364-8080-4ee1-94a6-ac8760490824,genus,Plantae,"",Maxillaria,2,[],
0c218450-c46e-4ae1-8aab-5f35c33458a8,genus,Plantae,"",Ione,1,t0021149,accepted
0c218450-c46e-4ae1-8aab-5f35c33458a8,genus,Plantae,"",Ione,2,,
16c6789b-0f54-46dc-8468-e09831c13c1b,genus,Plantae,"",Actaea,1,t0009403,accepted
16c6789b-0f54-46dc-8468-e09831c13c1b,genus,Plantae,"",Actaea,2,,
6f1a6779-6e1e-4d01-ae0b-4cf09f4a59c6,genus,Plantae,"",Pileostegia,1,t0002687,not-accepted
6f1a6779-6e1e-4d01-ae0b-4cf09f4a59c6,genus,Plantae,"",Pileostegia,2,,
eb69c9d4-8061-4ddc-a375-20eb8bea59dc,genus,Plantae,"",Gordonia,1,t0002704,accepted
eb69c9d4-8061-4ddc-a375-20eb8bea59dc,genus,Plantae,"",Gordonia,2,t0088182,accepted
6701ae76-b80f-4f9a-b31e-5cad613c3a11,genus,Fungi,"",Micrococcus,1,t0007962,accepted
6701ae76-b80f-4f9a-b31e-5cad613c3a11,genus,Fungi,"",Micrococcus,2,t0088272,accepted
e6134be1-3ee9-4cd7-aa74-8b5fe85dfa6b,genus,Protozoa,"",Platypleura,1,t0014839,accepted
e6134be1-3ee9-4cd7-aa74-8b5fe85dfa6b,genus,Protozoa,"",Platypleura,2,t0093371,not-accepted
2df406ea-0c05-4ca0-afcb-af37ffbefe69,genus,Protozoa,"",Quadrula,1,[],
2df406ea-0c05-4ca0-afcb-af37ffbefe69,genus,Protozoa,"",Quadrula,2,[],
cb98fe64-7a6d-44f8-af2f-5b4851efeb58,genus,Protozoa,"",Balladyna,1,t0007116,accepted
cb98fe64-7a6d-44f8-af2f-5b4851efeb58,genus,Protozoa,"",Balladyna,2,t0006537,accepted
77492479-c45b-46d6-a0d3-796e32b00be7,genus,Fungi,"",Enteropogon,1,t0023774,accepted
77492479-c45b-46d6-a0d3-796e32b00be7,genus,Fungi,"",Enteropogon,2,t0006625,accepted
e4ea5b20-a54d-4306-a708-d96fc432a99b,species,Plantae,"",Selaginella circinalis,1,t0103619,not-accepted
e4ea5b20-a54d-4306-a708-d96fc432a99b,species,Plantae,"",Selaginella circinalis,2,t0103619,not-accepted
ce8c5fa8-0847-4b8d-a927-69a1bb65c276,species,Plantae,"",Selaginella circinalis,1,t0103619,not-accepted
ce8c5fa8-0847-4b8d-a927-69a1bb65c276,species,Plantae,"",Selaginella circinalis,2,t0103619,not-accepted
c9bcc282-a744-496f-97a2-2798e3a0612e,species,Plantae,"",Athyrium fragile,1,t0102807,accepted
