TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,taxon_id,taxon_status,simple_name,rank,kingdom
87fe9b9d-8291-4f3c-8b27-480d2edad7c1,genus,Plantae,"",Culcita,t0012509,accepted,Culcita,Genus,Animalia
0c218450-c46e-4ae1-8aab-5f35c33458a8,genus,Plantae,"",Ione,t0021149,accepted,Ione,Genus,Animalia
16c6789b-0f54-46dc-8468-e09831c13c1b,genus,Plantae,"",Actaea,t0009403,accepted,Actaea,Genus,Animalia
6f1a6779-6e1e-4d01-ae0b-4cf09f4a59c6,genus,Plantae,"",Pileostegia,t0002687,accepted,Hydrangea,Genus,Plantae
e6134be1-3ee9-4cd7-aa74-8b5fe85dfa6b,genus,Protozoa,"",Platypleura,t0014839,accepted,Platypleura,Genus,Animalia
e6134be1-3ee9-4cd7-aa74-8b5fe85dfa6b,genus,Protozoa,"",Platypleura,t0093371,accepted,Thomsenella,Genus,Protozoa
cb98fe64-7a6d-44f8-af2f-5b4851efeb58,genus,Protozoa,"",Balladyna,t0006537,accepted,Balladyna,Genus,Chromista
cb98fe64-7a6d-44f8-af2f-5b4851efeb58,genus,Protozoa,"",Balladyna,t0007116,accepted,Balladyna,Genus,Fungi
77492479-c45b-46d6-a0d3-796e32b00be7,genus,Fungi,"",Enteropogon,t0006625,accepted,Enteropogon,Genus,Protozoa
77492479-c45b-46d6-a0d3-796e32b00be7,genus,Fungi,"",Enteropogon,t0023774,accepted,Enteropogon,Genus,Plantae
e4ea5b20-a54d-4306-a708-d96fc432a99b,species,Plantae,"",Selaginella circinalis,t0103619,accepted,Lycopodium circinale,Species,Plantae
ce8c5fa8-0847-4b8d-a927-69a1bb65c276,species,Plantae,"",Selaginella circinalis,t0103619,accepted,Lycopodium circinale,Species,Plantae
61caa6c2-5fc9-4518-a867-96e8c3708694,species,Plantae,"",Caladium hortulanum,t0040532,accepted,Caladium × hortulanum,Species,Plantae
2b05ab46-36b1-4a15-b266-8569a7cf213f,species,Plantae,"",Bulbophyllum remotifolium,t0033500,accepted,Bulbophyllum albociliatum var. remotifolium,Variety,Plantae
2b05ab46-36b1-4a15-b266-8569a7cf213f,species,Plantae,"",Bulbophyllum remotifolium,t0040502,accepted,Bulbophyllum hirundinis,Species,Plantae
2b05ab46-36b1-4a15-b266-8569a7cf213f,species,Plantae,"",Bulbophyllum remotifolium,t0099239,deleted,Bulbophyllum hirundinis,Species,Plantae
a529536e-ad0b-4644-8f11-397d0b7d964e,species,Plantae,"",Calanthe hsinchuensis,t0040537,accepted,Calanthe × hsinchuensis,Species,Plantae
593f7c14-4de1-4acb-a71a-0db2a1305e85,species,Plantae,"",Hemipilia takasagomontana,t0059087,accepted,Ponerorchis takasago-montana,Species,Plantae
56385b80-92e0-4fd2-a69e-35f6c7be586c,species,Plantae,"",Thrixspermum laurisilvaticum,t0055600,accepted,Thrixspermum pygmaeum,Species,Plantae
992e387e-a308-4c05-b14d-e15954be3fef,species,Plantae,"",Musa paradisiaca,t0054512,accepted,Musa balbisiana,Species,Plantae
992e387e-a308-4c05-b14d-e15954be3fef,species,Plantae,"",Musa paradisiaca,t0054514,accepted,Musa × paradisiaca,Species,Plantae
01e10c83-3dee-4306-8c35-302f0de94717,species,Plantae,"",Musa sapientum,t0054512,accepted,Musa balbisiana,Species,Plantae
01e10c83-3dee-4306-8c35-302f0de94717,species,Plantae,"",Musa sapientum,t0123862,accepted,Musa × sapientum,Species,Plantae
