TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
c81c2d9d-6ab5-461f-ba33-48c46fd7a98f,domain,"","",Bacteria,1,t0000005,accepted
b97f04e6-e040-43c4-a957-4c1d09c2094f,kingdom,Cryptista,"",Cryptista,1,t0000078,accepted
0ea931ec-3d72-4ea9-9848-f42a1f973bef,superphylum,Plantae,"",Streptophyta,1,t0000021,accepted
8973cf04-1c50-4e7f-9536-08fbdf4d101e,phylum,Plantae,"",Embryophyta,1,t0000029,accepted
d71da4b4-6d1d-4c3f-b28b-3f2f6e7eb039,subclass,Plantae,"",Isoetidae,1,t0124082,not-accepted
e8a4c204-9004-4a54-9ef1-a9a9bef6d939,family,Plantae,"",Metaxyaceae,1,t0124090,accepted
05857eb2-43e7-41d3-aeb3-f01a9f131a25,family,Plantae,"",Trigoniaceae,1,t0003855,accepted
a42d78d0-c5c2-4be4-9c4e-d984c5580630,family,Plantae,"",Rafflesiaceae,1,t0106570,accepted
507db7e8-13f7-4284-b6a3-d8041dbe86e9,class,Fungi,"",Zygomycetes,1,t0124974,accepted
4bb492bd-b350-428a-8f51-2d7f33ff4ebc,class,Protozoa,"",Polyhymenophora,1,t0002910,accepted
b6ebab58-240b-4fd8-b930-22d53fb33075,family,Fungi,"",Heterosporium,1,t0094479,accepted
76b89eaf-2f11-428a-8dec-9cdb5c9a6886,genus,Plantae,"",Anticlea,1,t0010092,accepted
eb265ae8-767f-41e4-b0ad-ef6d58ed4015,genus,Plantae,"",Empusa,1,t0095862,accepted
03d7fef7-e924-4954-8841-8a6398655d8f,genus,Plantae,"",Triphora,1,t0017776,accepted
355fabc9-918d-4823-b97d-30d338a85fa3,genus,Plantae,"",Galera,1,t0007594,accepted
bc525358-37cb-499e-b022-074e9c74381f,genus,Plantae,"",Stauropsis,1,t0094718,accepted
32b3d08f-2977-4ed6-a0d7-b42b374cfaa9,genus,Plantae,"",Cystopus,1,t0095349,accepted
df1899e4-593f-4a17-95b2-81f78c86bdc9,genus,Plantae,"",Leiothrix,1,t0021618,accepted
3b56dfb1-e205-48e6-9dd1-0167a210cbaf,genus,Plantae,"",Chelidonium,1,t0011744,accepted
7cc45f32-8695-434b-aeed-2454fbe98e81,genus,Plantae,"",Kerria,1,t0021350,accepted
52604a3c-f0d3-44df-af2f-132abc500082,genus,Plantae,"",Decodon,1,t0018460,accepted
69b6cadc-1c8f-4f42-b0a1-58a6eb84556b,genus,Plantae,"",Euodia,1,t0025488,accepted
5d5f62a3-08ed-4177-90cc-1045b236ee31,genus,Plantae,"",Abronia,1,t0107300,accepted
501dca1d-fd1e-4204-beca-8aea79a7f0aa,genus,Plantae,"",Okenia,1,t0013384,accepted
b3a5cfa3-d160-493a-a8e9-774cf938aa71,genus,Plantae,"",Nyssa,1,t0093102,accepted
7305997e-18fe-45fa-8074-edd4d46c1835,genus,Plantae,"",Gustavia,1,t0020305,accepted
a74dc8b0-6892-4332-89cd-45487a3bfebc,genus,Plantae,"",Rondeletia,1,t0015956,accepted
6e2e7c5a-0986-48db-94f9-2f5c7eb91b75,genus,Plantae,"",Manulea,1,t0026129,accepted
70c5a164-d77c-42b1-a935-1e778a43df7e,genus,Fungi,"",Trichurus,1,t0092024,accepted
63b6aeb5-5e64-403e-b337-15d425d901b7,genus,Protozoa,"",Cononellopsis,1,t0006581,accepted
224d6420-6311-43b7-aa4e-7d51e8343233,genus,Protozoa,"",Tintinopsis,1,t0006880,accepted
1faccb0a-06f4-492c-9ad1-6d76cfef47dd,genus,Protozoa,"",Neoceratium,1,t0006730,accepted
6ab90674-b1ef-45e8-a120-fd90298fbaa6,genus,Plantae,"",Hyaloraphidium,1,t0024029,accepted
8b461c34-774b-4f26-a1bb-9068c5d13c33,species,Plantae,"",Phlegmariurus cryptomerianus,1,t0026340,not-accepted
5df4fe35-eb6b-4637-b2a0-75f94fe0d6af,species,Plantae,"",Botrychium formosanum,1,t0026368,not-accepted
2dad6de2-2373-4c1b-bd65-5156b928e310,species,Plantae,"",Botrychium lanuginosum,1,t0026367,not-accepted
f686984c-57e8-407f-86ca-f6a80d325c91,species,Plantae,"",Botrychium ternatum,1,t0026369,not-accepted
335dde53-cb91-46a7-8140-e9bfc79ca975,species,Plantae,"",Ophioderma pendula,1,t0026359,not-accepted
c9fd0e2b-14b3-4103-a5a2-fb4d488452cc,species,Plantae,"",Cephalomanes thysanostomum,1,t0026417,not-accepted
09b80f8a-004d-486b-b3bc-21293fddd269,species,Plantae,"",Diplopterygium chinense,1,t0026433,not-accepted
02ceaa08-5efb-460d-8366-bfb960254b2a,species,Plantae,"",Cibotium cumingii,1,t0026464,not-accepted
4894c922-0b27-4034-886d-84a076dfddc6,species,Plantae,"",Alsophila lepifera,1,t0026462,not-accepted
ff6aac32-ee7a-4bc6-9a24-dfe62fc99b9f,species,Plantae,"",Dennstaedtia hirsuta,1,t0026579,not-accepted
44fefb48-87a6-4bbc-88a5-33e88b1ab744,species,Plantae,"",Dennstaedtia smithii,1,t0026582,not-accepted
c9f794f4-5b99-4b23-a027-04e893dee9fc,species,Plantae,"",Ceratopteris gaudichaudii,1,t0026491,not-accepted
72f4a6f0-d997-402e-a4b1-233fff1a0061,species,Plantae,"",Cheilanthes formosana,1,t0026534,not-accepted
9199207b-52ac-4d20-aaba-de7258ff007d,species,Plantae,"",Cheilanthes subargentea,1,t0026537,not-accepted
f5b6b090-f989-4452-85ff-10e3b20a9d0a,species,Plantae,"",Notholaena hirsuta,1,t0026539,not-accepted
18890762-c755-4915-81f6-a85862c86366,species,Plantae,"",Antrophyum parvulum,1,t0026566,not-accepted
0425d181-c7a2-4519-b805-7c6adf22b64e,species,Plantae,"",Antrophyum alatum,1,t0026561,not-accepted
d05d69a8-545c-4f40-82a6-1d2ede28e07a,species,Plantae,"",Cyclosorus acuminatus,1,t0026948,not-accepted
f40174bf-63c0-49da-a4a3-9a0cf6060620,species,Plantae,"",Cyclosorus parasiticus,1,t0026955,not-accepted
a671b85d-0693-46a4-891b-5ccb4312499b,species,Plantae,"",Cyclosorus megacuspis,1,t0026974,not-accepted
da15f880-8cda-4a68-ba00-aca10feebff5,species,Plantae,"",Thelypteris esquirolii,1,t0026980,not-accepted
a8648cb5-2a63-4ee4-80c4-5e7cc59c13fa,species,Plantae,"",Thelypteris auriculata,1,t0026960,not-accepted
b4b63d43-4cb5-40b4-9b66-de27d3cd08c9,species,Plantae,"",Thelypteris erubescens,1,t0026963,not-accepted
adc83efd-c346-411d-96c2-1efd8d022850,species,Plantae,"",Thelypteris laxa,1,t0026969,not-accepted
06f9a616-b633-4c31-9c43-5ca8b704dd29,species,Plantae,"",Thelypteris uraiensis,1,t0026970,not-accepted
ecb6c55f-68ba-425e-b2a3-9caa9509af76,species,Plantae,"",Parathelypteris angulariloba,1,t0026958,not-accepted
f4d4bfc1-37ca-4286-bef9-a682eb1a26c3,species,Plantae,"",Pronephrium insularis,1,t0095924,not-accepted
cfd5863b-ddc3-450c-9331-aa8bcd23faae,species,Plantae,"",Woodwardia orientalis,1,t0027048,not-accepted
f7314246-658c-4759-b548-537782d5b571,species,Plantae,"",Struthiopteris hancockii,1,t0027055,not-accepted
8b35a88f-6906-41e4-81b5-48ff3ea12852,species,Plantae,"",Anisocampium cumingianum,1,t0026995,not-accepted
266544f3-56a1-45a0-bfdd-3d4ec4086f79,species,Plantae,"",Anisocampium niponicum,1,t0027003,not-accepted
0bb86a07-8c87-48d9-ada8-a9bae813b2c3,species,Plantae,"",Anisocampium sheareri,1,t0027010,not-accepted
b2164836-e56a-4837-913d-cd0d0034bc90,species,Plantae,"",Athyrium unifurcatum,1,t0027021,not-accepted
bc785c8b-23f6-4700-931f-0b741911fe31,species,Plantae,"",Cornopteris opaca,1,t0027004,not-accepted
71cc17e7-573c-43ec-9456-66d8dfb70d5d,species,Plantae,"",Diplazium conterminum,1,t0057261,not-accepted
d27843aa-16eb-4050-98bd-da31b7d5f8ea,species,Plantae,"",Diplazium lobatum,1,t0086577,not-accepted
f6ecb400-7f34-442d-9728-b0e3213ebcf8,species,Plantae,"",Diplazium taiwanense,1,t0057262,not-accepted
b0d2cdf4-3aee-4431-a7f9-d3b049da3252,species,Plantae,"",Arachniodes rhomboidea,1,t0086571,not-accepted
701932df-65e9-4c09-8870-a1ce148dd289,species,Plantae,"",Arachniodes caudata,1,t0026629,not-accepted
082e3fb3-f670-48cc-a473-0916be19cae4,species,Plantae,"",Humata tyermanni,1,t0026779,not-accepted
3e625b6c-3a0c-46d1-ae4a-a8e7c9707b94,species,Plantae,"",Araiostegia parvipinnula,1,t0026777,not-accepted
f8df2078-0991-4743-a423-bd1cb63ed355,species,Plantae,"",Aglaomorpha coronans,1,t0026791,not-accepted
6fede434-0dc5-4620-9145-abd36f7b823b,species,Plantae,"",Aglaomorpha meyeniana,1,t0026792,not-accepted
