TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
49e7c14b-438f-4952-ac66-363d498040e1,order,Animalia,t0001800,Poecilostomatoida,Cyclopoida,accepted,TRUE
05afcbaa-57cc-475b-aaa2-84f847a81a6a,order,Animalia,t0002132,Scalpelliiformes,Scalpellomorpha,accepted,TRUE
7598d2d0-e427-486a-b775-21fdec16afb5,order,Animalia,t0001930,Lampridiformes,Lampriformes,accepted,TRUE
25341c2d-9242-49b3-b8f4-42b242fd2d2e,order,Animalia,t0002002,Mytiloida,Mytilida,accepted,TRUE
aab869af-3661-47da-bf86-86f2a9220067,family,Animalia,t0004191,Urocteidae,Oecobiidae,accepted,TRUE
f1074b32-b17c-4a10-b5c0-21717b28b7d4,family,Animalia,t0004083,Archaeobalanidae,Balanidae,accepted,TRUE
2d9c8b72-3c4d-489d-8ad7-99a5f6ff85b2,family,Animalia,t0004013,Oxynaspididae,Poecilasmatidae,accepted,TRUE
1f990f65-b360-43c9-ab2c-2e7ec9b1917d,genus,Animalia,t0012329,Cosell,Cosella,accepted,TRUE
2e733415-0075-49ea-b5b1-1203b3d59efd,genus,Animalia,t0021530,Lariniaria,Larinia,accepted,TRUE
d20f865f-92f1-4027-b466-9c56df747dc6,genus,Animalia,t0021530,Lipocrea,Larinia,accepted,TRUE
ff2ea52c-1d12-413f-8472-d3e347364221,genus,Animalia,t0015639,Takachihoa,Pycnaxis,accepted,TRUE
72bb4713-6919-47ab-99a3-ab280038b6c2,genus,Animalia,t0018261,Pseudotriaeris,Xyphinus,accepted,TRUE
02531bda-5ccf-4287-9b3d-51f0980929bf,genus,Animalia,t0016383,Pakawops,Siamspinops,accepted,TRUE
7ca06c8f-84fd-435e-b8ce-d1469db9f4ef,genus,Animalia,t0011732,Eutittha,Cheiracanthium,accepted,TRUE
1cc3b16c-5a5c-4213-a214-4c5073be663b,genus,Animalia,t0092379,Falcileptoneata,Falcileptoneta,accepted,TRUE
9d26f14f-02da-4596-8b48-5ff0b51efaad,genus,Animalia,t0009778,Aponomma,Amblyomma,accepted,TRUE
