TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_taxon_id
a4bf4963-5d24-4e02-9b11-b8a2ce74bfab,class,Animalia,"",Actinopterygii,t0002887
49e7c14b-438f-4952-ac66-363d498040e1,order,Animalia,"",Poecilostomatoida,t0003024
a72f3958-1906-42e7-a482-9422b64cc6ed,order,Animalia,"",Siphonophora,t0003087
f1074b32-b17c-4a10-b5c0-21717b28b7d4,family,Animalia,"",Archaeobalanidae,t0005335
2d9c8b72-3c4d-489d-8ad7-99a5f6ff85b2,family,Animalia,"",Oxynaspididae,t0004251
88a7facc-492e-457e-98c7-73ce5329017e,kingdom,Plantae,"",Plantae,t0000003
28731836-31a0-45ee-a2a3-c141f6c9698b,subkingdom,Plantae,"",Viridiplantae,t0000011
13ec219d-d34f-4654-9bd4-a1c151a12ba2,class,Plantae,"",Lycopodiopsida,t0000445
7506c430-f88b-40e2-b4ad-22f068eb4bac,class,Plantae,"",Polypodiopsida,t0000452
115c994a-a773-4653-a20e-b064f20a0b7a,subclass,Plantae,"",Equisetidae,t0000561
c85b5302-26d6-4fdd-be70-b3e39fc1c417,subclass,Plantae,"",Ophioglossidae,t0000562
d50dbbf3-4cb7-4889-bdf9-90c60ae897e9,subclass,Plantae,"",Marattiidae,t0000563
c7d4eb88-734f-4150-a0c5-c7637846e13c,subclass,Plantae,"",Polypodiidae,t0000564
d2ad637f-e94e-492c-856e-0e2693e4271f,subclass,Plantae,"",Cycadidae,t0000565
a8448c61-a5ee-42d3-8706-88daa80cf53b,subclass,Plantae,"",Pinidae,t0000568
916ec491-de5c-4521-9eba-a1a0ae97e181,subclass,Plantae,"",Magnoliidae,t0002276
284a09f0-2d6d-450b-a269-e18b8815aa8c,order,Plantae,"",Lycopodiales,t0001582
a244ee2a-67fc-4dd7-9894-e13c1f7e1a53,order,Plantae,"",Isoetales,t0001577
70052e1f-067a-4f90-a973-ad99e6b91f1d,order,Plantae,"",Selaginellales,t0001638
896ce120-0349-431b-a4c9-53075d9241fb,order,Plantae,"",Equisetales,t0001557
7ffefccc-720a-4776-a25d-a97d52f168cf,order,Plantae,"",Psilotales,t0001621
438b081e-001b-474e-814f-74eff4106749,order,Plantae,"",Ophioglossales,t0001599
448b2eba-4c51-41dd-97d6-a4d109890624,order,Plantae,"",Marattiales,t0001584
3a767b09-9bbf-44e4-84c4-8e73a02ffb73,order,Plantae,"",Osmundales,t0001601
b64bc07e-4037-4a6d-a9bb-41f359b59050,order,Plantae,"",Hymenophyllales,t0001574
49985cdc-2b71-480f-84ab-c22bca7a008c,order,Plantae,"",Gleicheniales,t0001566
979fc9c0-9cdb-4f3d-b4a1-e4b5d0e93532,order,Plantae,"",Schizaeales,t0001633
ebc168eb-1458-4dc6-89d3-86483e920f30,order,Plantae,"",Salviniales,t0001632
832ddc55-1c67-4c46-86f3-e7b69ee555e6,order,Plantae,"",Cyatheales,t0001546
5d8d86db-1ebc-49db-95d6-545d674399c2,order,Plantae,"",Polypodiales,t0001613
a6fd1d66-44e8-465f-9b6e-b0ffdc744f30,order,Plantae,"",Cycadales,t0000783
1f4e67b4-f0f1-4f36-a46e-0a3af8ce2304,order,Plantae,"",Ginkgoales,t0000784
f768ca32-6f75-4ce7-8086-7d7ec32691cf,order,Plantae,"",Pinales,t0000786
0b40801f-19e7-4036-a3cf-b0f37796000b,order,Plantae,"",Araucariales,t0002280
677eaeac-e0e9-412c-8bf7-8cb62955221e,order,Plantae,"",Cupressales,t0002281
1b358ed1-e732-469e-a6bb-d0f7355e1a1a,order,Plantae,"",Amborellales,t0000787
905994a7-2015-4d2d-8d60-422cfdbbc262,order,Plantae,"",Nymphaeales,t0000788
ce0e3cba-17f3-44d1-8847-4747486bfa2b,order,Plantae,"",Austrobaileyales,t0000789
dd55447a-5bc9-4a62-8002-823fe3d45f94,order,Plantae,"",Piperales,t0000791
48db819a-2bfd-4d33-9abf-6a8971f811dc,order,Plantae,"",Magnoliales,t0000792
e1dea8c1-b90e-4c04-b122-0679cab20357,order,Plantae,"",Laurales,t0000793
