TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
3ecc15e1-356d-430c-8f26-83196453a7de,order,Animalia,t0001934,Lepadiformes,superfamily,Animalia,Lepadoidea,accepted,TRUE
c1ca5281-fbc2-4a86-b9ca-b7174c013b56,order,Animalia,t0001914,Ibliformes,order,Animalia,Iblomorpha,accepted,TRUE
7598d2d0-e427-486a-b775-21fdec16afb5,order,Animalia,t0001930,Lampridiformes,order,Animalia,Lampriformes,accepted,TRUE
a72f3958-1906-42e7-a482-9422b64cc6ed,order,Animalia,t0003087,Siphonophorae,order,Animalia,Siphonophora,deleted,TRUE
8134a025-b377-4d41-8da0-0f8c2448a247,family,Animalia,t0006090,Halonoproctidae	,family,Animalia,Halonoproctidae,accepted,TRUE
95215eb9-7328-4aac-8d9e-ab38f6b496d2,family,Animalia,t0005928,Ereuniidae,family,Animalia,Rhamphocottidae,accepted,TRUE
c88f6db5-38e5-4d71-8840-9560272e1dc4,family,Animalia,t0005832,Diplophidae,subfamily,Animalia,Diplophinae,accepted,TRUE
38202de0-af13-4a46-a50e-3c226e9fd48f,family,Animalia,t0004997,Ziphiidae,family,Animalia,Hyperoodontidae,accepted,TRUE
9e136f9a-4948-4d37-b12b-36ac4bd2a77d,family,Animalia,t0005959,Euphyllidae,family,Animalia,Euphylliidae,accepted,TRUE
f8b992b8-0ecd-412e-8a80-b287c00bbf64,family,Animalia,t0005563,Ceraphromnidae,family,Animalia,Ceraphronidae,accepted,TRUE
cc013d70-4cb4-4a2c-b224-57476ce3a120,family,Animalia,t0004537,Pygotidae,family,Animalia,Pyrgotidae,accepted,TRUE
dea51676-679b-4744-a484-6eb566806f62,family,Animalia,t0004134,Nemobiidae,subfamily,Animalia,Nemobiinae,accepted,TRUE
1f990f65-b360-43c9-ab2c-2e7ec9b1917d,genus,Animalia,t0012329,Cosell,genus,Animalia,Cosella,accepted,TRUE
75f0abd1-97b6-4543-a45b-ab224bb92c2d,genus,Animalia,t0014613,Phthacarus,genus,Animalia,Phthiracarus,accepted,TRUE
2e733415-0075-49ea-b5b1-1203b3d59efd,genus,Animalia,t0021530,Lariniaria,genus,Animalia,Larinia,accepted,TRUE
fa00e918-cc98-4457-8c2e-b272672908d0,species,Animalia,t0030082,Paracalanidae tenuis,species,Animalia,Calocalanus tenuis,accepted,TRUE
9e8fa204-31c2-4cab-a221-435803e79287,genus,Animalia,t0011753,Cheloniba,genus,Animalia,Chelonibia,accepted,TRUE
d7f255c4-e0b0-47ed-92d1-bdd324b75a83,genus,Animalia,t0013635,Orthriophis,genus,Animalia,Elaphe,accepted,TRUE
8afd17c7-4cd3-48c8-a3d7-5e6fe12a6c68,genus,Animalia,t0018943,Drupinia,genus,Animalia,Drupina,accepted,TRUE
9f6903db-461a-4f45-ad5e-23ff84ab01ec,genus,Animalia,t0011480,Caulastrea,genus,Animalia,Caulastraea,accepted,TRUE
10576c92-38ca-4241-abce-2f79ef7aacdc,genus,Animalia,t0017197,Taneia,genus,Animalia,Taenia,accepted,TRUE
6517e621-ed85-4e63-98b2-e371358e4bc0,genus,Animalia,t0015036,Pompholys,genus,Animalia,Pompholyx,accepted,TRUE
f987626d-74ba-4e3f-8f8f-66f690da8b7a,genus,Animalia,t0012157,Colobaspis,genus,Animalia,Temnaspis,accepted,TRUE
f50221e0-16a0-4722-871f-1fdf08e9ee40,genus,Animalia,t0018428,Darumazo,genus,Animalia,Aphanerostethus,accepted,TRUE
780ef936-c226-4f07-a9ab-ec9346c8455a,genus,Animalia,t0009646,Alesia,genus,Animalia,Micraspis,accepted,TRUE
342e1d29-42c3-42f8-aac0-a3d3f02795d6,genus,Animalia,t0022186,Macrolleis,genus,Animalia,Macroilleis,accepted,TRUE
d5a83005-3ebf-4ef6-8dbc-629473a90d0b,genus,Animalia,t0016418,Silvanophus,genus,Animalia,Silvanoprus,accepted,TRUE
f31453f2-2148-4198-8cb0-338fdc69dfeb,genus,Animalia,t0017743,Trigonodera,genus,Animalia,Pelecotoides,accepted,TRUE
