TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName
c81c2d9d-6ab5-461f-ba33-48c46fd7a98f,domain,"",t0000005,Bacteria
205b1246-d120-41f3-a07d-d26ca09f3a56,domain,"",t0000004,Archaea
329c5b3e-0af3-4e8b-917f-e62e6d4aea27,domain,"",t0000001,Eukaryota
3ecc15e1-356d-430c-8f26-83196453a7de,order,Animalia,t0001934,Lepadiformes
85381012-88ce-4d66-abaa-68c189d64877,order,Animalia,t0001655,Bdelloidea
181a0f3e-96eb-4f0e-8d0a-e3d83d74c5ff,order,Animalia,t0005620,Chordodidae
c88f6db5-38e5-4d71-8840-9560272e1dc4,family,Animalia,t0005832,Diplophidae
dea51676-679b-4744-a484-6eb566806f62,family,Animalia,t0004134,Nemobiidae
0375650e-5b02-4ed6-857a-6f62e155856c,kingdom,Crenarchaeota,t0000038,Crenarchaeota
8739248e-2a6c-4498-a6dc-ec129ddf4ddd,kingdom,Euryarchaeota,t0000044,Euryarchaeota
45a03696-6726-406a-9094-cd87fabe502d,kingdom,Euglenoida,t0000136,Euglenoida
810e6be0-e193-4619-b10a-8bd2ac034923,kingdom,Percolozoa,t0000073,Percolozoa
05768301-6b69-4454-a60e-c72aa942e181,kingdom,Jakobea,t0000299,Jakobea
e9576fc5-03ff-41f3-abb6-c2376c18dd51,kingdom,Harosa,t0000016,Harosa
b97f04e6-e040-43c4-a957-4c1d09c2094f,kingdom,Cryptista,t0000078,Cryptista
51fc97cb-6f6d-4720-b109-7ee56f83ffa8,kingdom,Neolouka,t0000138,Neolouka
23ef91db-886c-4602-8dad-42241abb41df,phylum,Protozoa,t0000077,Ciliophora
0bda4552-4801-497e-96b1-ea6f782a931d,class,Protozoa,t0000351,Labyrinthulea
6449055b-86e9-41a0-8c8e-2c2cf0ca4bc7,class,Protozoa,t0002909,Ciliatea
3b5e4f6f-5f7c-4cf1-9774-85c21e2c7798,class,Protozoa,t0002911,Oligotrichea
337f32d6-4876-404a-a3ac-3ae8dc1a3cf0,class,Protozoa,t0002912,Suctorea
702fb19b-68ac-4bce-b73c-36d91bb76a0b,class,Protozoa,t0000338,Dinophyceae
68c2ae6e-f392-4292-b39f-5962e18a728f,class,Protozoa,t0002908,Gregarinea
7960ba84-6a36-435d-becf-3cafe9078aa7,class,Protozoa,t0000523,Myxosporea
77e3c067-37f3-4af7-929a-25ef96e06ebb,order,Chromista,t0001389,Chaetosphaeriales
82f03d37-80d0-43cc-94dd-77c97317de6f,order,Fungi,t0003422,Dimargaritaceae
31da2419-1d4a-4386-a349-569c95aaf72d,order,Protozoa,t0001064,Actinophryida
e9e98e8a-19e2-4ce2-ae02-6789bcb36b4b,genus,Fungi,t0006520,Archnosphaera
f0f5489b-ab64-4c49-8229-a6c93fccad13,order,Protozoa,t0001259,Piroplasmida
e5272a10-a0f7-4b63-be0e-b9e23b27a1c1,order,Protozoa,t0003009,Hypotrichida
ac741e18-1183-4af1-b419-3fbcb402b7ef,order,Protozoa,t0001176,Heterotrichida
57deee33-fd2c-4041-a0eb-8c0e0a09f707,order,Protozoa,t0003013,Oligotrichida
ff609f7c-f9b9-45a4-a54a-445b10bf5992,order,Protozoa,t0003014,Peritrichida
fec8ab25-aed9-44c1-aba6-182d4ac062a5,order,Protozoa,t0003008,Hymenostomatida
2ca81f61-f743-478b-a599-3a794ebc4d4a,order,Protozoa,t0003000,Choreotrichida
5dc27667-a7b3-4b29-8138-0ab66926fb86,order,Protozoa,t0001224,Odontostomatida
118a9cbc-49d5-4306-b475-668ac857a185,order,Protozoa,t0003021,Spelaeophryida
