TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TT_URL
e17e96ea-56c7-4826-a9c6-22dcc2fa33bf,order,Animalia,"",Gastropoda ordo incertae sedis,https://taxatree.tbn.org.tw/taxa/e17e96ea-56c7-4826-a9c6-22dcc2fa33bf
4de8f823-779f-4b5d-9230-a9b25937730f,order,Animalia,"",Polychaeta ordo incertae sedis,https://taxatree.tbn.org.tw/taxa/4de8f823-779f-4b5d-9230-a9b25937730f
1ad38a59-ff03-42f5-a001-26d8cfdf335f,suborder,Animalia,"",Lacertilia,https://taxatree.tbn.org.tw/taxa/1ad38a59-ff03-42f5-a001-26d8cfdf335f
810b4a50-36c5-4cfa-8426-f7fd1bc7ff81,family,Animalia,"",Lorisidae,https://taxatree.tbn.org.tw/taxa/810b4a50-36c5-4cfa-8426-f7fd1bc7ff81
1a85b941-b1be-466e-8923-822fe688d8ba,family,Animalia,"",Caviidae,https://taxatree.tbn.org.tw/taxa/1a85b941-b1be-466e-8923-822fe688d8ba
26464dbe-41ae-4663-86dc-8314a93861d0,genus,Animalia,"",Ovis,https://taxatree.tbn.org.tw/taxa/26464dbe-41ae-4663-86dc-8314a93861d0
029a1fbf-52f6-4d65-bb20-83e477819466,genus,Animalia,"",Antidorcas,https://taxatree.tbn.org.tw/taxa/029a1fbf-52f6-4d65-bb20-83e477819466
e9c38591-bd7f-4f11-8fd5-394b77cc2cc6,genus,Animalia,"",Mesocricetus,https://taxatree.tbn.org.tw/taxa/e9c38591-bd7f-4f11-8fd5-394b77cc2cc6
c198e721-573e-4551-b5f8-0c1f89eb51b6,genus,Animalia,"",Panthera,https://taxatree.tbn.org.tw/taxa/c198e721-573e-4551-b5f8-0c1f89eb51b6
1940fc57-c9bf-474a-a8a6-40c7906600be,genus,Animalia,"",Phodopus,https://taxatree.tbn.org.tw/taxa/1940fc57-c9bf-474a-a8a6-40c7906600be
cbc0bd5b-7614-4645-8a5f-002f0ae2c8a3,genus,Animalia,"",Tamias,https://taxatree.tbn.org.tw/taxa/cbc0bd5b-7614-4645-8a5f-002f0ae2c8a3
f8d7eb8a-b255-4d03-9def-91daee54b663,genus,Animalia,"",Urotrichus,https://taxatree.tbn.org.tw/taxa/f8d7eb8a-b255-4d03-9def-91daee54b663
ee3aa6e0-e276-4a70-993d-b118cff258e0,genus,Animalia,"",Helarctos,https://taxatree.tbn.org.tw/taxa/ee3aa6e0-e276-4a70-993d-b118cff258e0
04599a69-21aa-4ce9-bca7-c4f1a38a4740,genus,Animalia,"",Oryctolagus,https://taxatree.tbn.org.tw/taxa/04599a69-21aa-4ce9-bca7-c4f1a38a4740
f6e5eb70-cb8c-46d2-af39-1604970ecc97,genus,Animalia,"",Vulpes,https://taxatree.tbn.org.tw/taxa/f6e5eb70-cb8c-46d2-af39-1604970ecc97
9909a0ee-3934-4890-b3dc-759cc7e7227b,species,Animalia,"",Miniopterus magnater,https://taxatree.tbn.org.tw/taxa/9909a0ee-3934-4890-b3dc-759cc7e7227b
