TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_taxon_status,TC_is_in_taiwan,TC_new_taxon_id,TT_URL
a4bf4963-5d24-4e02-9b11-b8a2ce74bfab,class,Animalia,t0002887,Actinopterygii,class,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/a4bf4963-5d24-4e02-9b11-b8a2ce74bfab
4d4dd13d-57ee-459d-81bd-407ba9f0928d,genus,Animalia,t0093924,Totanus,genus,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/4d4dd13d-57ee-459d-81bd-407ba9f0928d
c9dcd09c-d838-47b2-aa5d-9f92cf0caa4e,genus,Animalia,t0012773,Nass,genus,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/c9dcd09c-d838-47b2-aa5d-9f92cf0caa4e
c71e4c49-439f-44ff-a4b0-edf58dc4c83f,genus,Animalia,t0093436,Priotyrranus,genus,Animalia,deleted,TRUE,t0015132,https://taxatree.tbn.org.tw/taxa/c71e4c49-439f-44ff-a4b0-edf58dc4c83f
b3a65aa6-d2ec-4d40-b93d-50278931db53,genus,Animalia,t0020890,Hybrdolinus,genus,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/b3a65aa6-d2ec-4d40-b93d-50278931db53
c6bb727c-9c9f-4b29-a4a3-22758e04551b,species,Animalia,t0079458,Cosella kadsuriae,species,Animalia,deleted,TRUE,t0079449,https://taxatree.tbn.org.tw/taxa/c6bb727c-9c9f-4b29-a4a3-22758e04551b
fccc4606-182f-47e3-a0a4-6cf15486d651,species,Animalia,t0079460,Cosella parvifloriae,species,Animalia,deleted,TRUE,t0079450,https://taxatree.tbn.org.tw/taxa/fccc4606-182f-47e3-a0a4-6cf15486d651
dba8ef60-49c8-4707-a6f6-792dd04a9d14,species,Animalia,t0071102,Amblyomma microplus,species,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/dba8ef60-49c8-4707-a6f6-792dd04a9d14
baf0de17-634c-4fb1-923c-0c9584586670,species,Animalia,t0096359,Metadentobunus formosae,species,Animalia,deleted,TRUE,t0085898,https://taxatree.tbn.org.tw/taxa/baf0de17-634c-4fb1-923c-0c9584586670
b32b28fb-197a-4d09-bf27-d3273d86152f,species,Animalia,t0070004,Acanthyphyra quadrispinosa,species,Animalia,deleted,TRUE,t0069957,https://taxatree.tbn.org.tw/taxa/b32b28fb-197a-4d09-bf27-d3273d86152f
d7aa5caa-80b8-43ed-9a24-bb30e6543c98,species,Animalia,t0083359,Parasesarma bidens,species,Animalia,deleted,TRUE,t0083358,https://taxatree.tbn.org.tw/taxa/d7aa5caa-80b8-43ed-9a24-bb30e6543c98
9fc6ccff-8cad-45f0-b5ce-b0a569fb56fc,species,Animalia,t0036654,Prionocrangon ommatosteres,species,Animalia,deleted,TRUE,t0036652,https://taxatree.tbn.org.tw/taxa/9fc6ccff-8cad-45f0-b5ce-b0a569fb56fc
d6e4dc96-5902-45bc-b537-8ca547693c37,species,Animalia,t0036653,Prionocrangon formosa,species,Animalia,deleted,TRUE,t0036651,https://taxatree.tbn.org.tw/taxa/d6e4dc96-5902-45bc-b537-8ca547693c37
46f97890-79da-4963-856a-dc4620d999e0,species,Animalia,t0082940,Panulirus penicillatus,species,Animalia,deleted,TRUE,t0082939,https://taxatree.tbn.org.tw/taxa/46f97890-79da-4963-856a-dc4620d999e0
8216d4fb-6d77-4432-a5a7-04e05f01c1c3,species,Animalia,t0096225,Lucifer intemedius,species,Animalia,deleted,TRUE,t0068042,https://taxatree.tbn.org.tw/taxa/8216d4fb-6d77-4432-a5a7-04e05f01c1c3
d91ef0a8-2e23-40e9-8044-412a6959ad0a,species,Animalia,t0099208,Totanus murrayi,species,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/d91ef0a8-2e23-40e9-8044-412a6959ad0a
d891ac88-920a-44d4-a510-800a66aa01b0,species,Animalia,t0099209,Totanus scaphus,species,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/d891ac88-920a-44d4-a510-800a66aa01b0
e3783794-425a-454e-b32e-e3f6d0995dcb,species,Animalia,t0099210,Totanus sinicus,species,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/e3783794-425a-454e-b32e-e3f6d0995dcb
2ef4f990-b653-44ee-b391-0e5c5b55e6dc,species,Animalia,t0099206,Totanus derjugini,species,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/2ef4f990-b653-44ee-b391-0e5c5b55e6dc
9e7b74f0-5540-4473-91a6-6be4430675aa,species,Animalia,t0099207,Totanus dextrilobatus,species,Animalia,deleted,TRUE,"",https://taxatree.tbn.org.tw/taxa/9e7b74f0-5540-4473-91a6-6be4430675aa
1f6a6a36-9894-4059-b7a4-02c12a90c792,species,Animalia,t0078082,Cheloniba testudinaria,species,Animalia,deleted,TRUE,t0078081,https://taxatree.tbn.org.tw/taxa/1f6a6a36-9894-4059-b7a4-02c12a90c792
4eb9b099-7fd4-4ea0-8fe0-2f440c753283,species,Animalia,t0078084,Chelonibia testudinaria,species,Animalia,deleted,TRUE,t0078081,https://taxatree.tbn.org.tw/taxa/4eb9b099-7fd4-4ea0-8fe0-2f440c753283
c93623fa-dfad-4bbd-b894-8de90edd25c5,species,Animalia,t0078083,Chelonibia patula,species,Animalia,deleted,TRUE,t0078081,https://taxatree.tbn.org.tw/taxa/c93623fa-dfad-4bbd-b894-8de90edd25c5
b4f41769-4eae-4108-aa3d-4b144a14a559,species,Animalia,t0057170,Parascorpaena picta,species,Animalia,deleted,TRUE,t0056210,https://taxatree.tbn.org.tw/taxa/b4f41769-4eae-4108-aa3d-4b144a14a559
8c0493f2-d382-4195-acb4-19a4ae145e8c,species,Animalia,t0056070,Rhinopias aphanes,species,Animalia,deleted,TRUE,t0032488,https://taxatree.tbn.org.tw/taxa/8c0493f2-d382-4195-acb4-19a4ae145e8c
74ee778b-67f3-4042-91e5-f0b40c5a2be2,species,Animalia,t0056211,Scorpaena neglecta,species,Animalia,deleted,TRUE,t0056209,https://taxatree.tbn.org.tw/taxa/74ee778b-67f3-4042-91e5-f0b40c5a2be2
ce3dc45b-359c-4642-8311-0e5c0a759d02,species,Animalia,t0029001,Equulites leuciscus,species,Animalia,deleted,TRUE,t0027352,https://taxatree.tbn.org.tw/taxa/ce3dc45b-359c-4642-8311-0e5c0a759d02
7767a7d9-d6c3-40aa-9132-a9dec5f59426,species,Animalia,t0050859,Equulites absconditus,species,Animalia,deleted,TRUE,t0027352,https://taxatree.tbn.org.tw/taxa/7767a7d9-d6c3-40aa-9132-a9dec5f59426
bc268fee-8f3a-4721-bea9-c2f23c19bfd6,species,Animalia,t0056689,Uranoscopus oligolepis,species,Animalia,deleted,TRUE,t0028443,https://taxatree.tbn.org.tw/taxa/bc268fee-8f3a-4721-bea9-c2f23c19bfd6
