TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
Cellular Organisms,,,
Bacteria,1,t0000005,accepted
Archaea,1,t0000004,accepted
Eukaryota,1,t0000001,accepted
Lepadiformes,1,t0001934,not-accepted
Ibliformes,1,t0001914,not-accepted
Stephanoberyciformes,1,[],
Saccopharyngiformes,1,[],
Bdelloidea,1,t0001655,accepted
Chordodidae,1,t0005620,accepted
Halonoproctidae	,1,t0006090,accepted
Caracanthidae,1,[],
Ereuniidae,1,t0005928,not-accepted
Diplophidae,1,t0005832,not-accepted
Ziphiidae,1,t0004997,not-accepted
Euphyllidae,,,
Faviidae,,,
Agathiphylliidae,,,
Pectiniidae,,,
Roeslerstammida,,,
Crenarchaeota,1,t0000038,not-accepted
Euryarchaeota,1,t0000044,accepted
Euglenoida,1,t0000136,accepted
Postgaardia,,,
Glycomonada,,,
Percolozoa,1,t0000073,accepted
Tsukubamonadea,,,
Jakobea,1,t0000299,accepted
Trichozoa,,,
Harosa,1,t0000016,accepted
Haptista,,,
Cryptista,1,t0000078,accepted
Anaeromonada,,,
Neolouka,1,t0000138,accepted
Podiata,,,
Picobiliphyta,,,
Telonemia,,,
Hemimastigophora,,,
Chlorophytes,,,
Streptophyta,1,t0000021,accepted
Embryophyta,1,t0000029,accepted
Tracheophytina,,,
Lycophytes,,,
Euphyllophytes,,,
Isoetopsida,,,
Equisetopsida,,,
Psilotopsida,,,
Marattiopsida,,,
Spermatopsida,,,
Lycopodiidae,1,[],
Isoetidae,1,[],
Psilotidae,1,t0000562,not-accepted
Ginkgoidae,,,
Gnetidae,1,t0000567,accepted
Welwitschiales,1,t0002278,accepted
Gnetales,1,t0000785,accepted
Ephedrales,1,t0002279,accepted
Canellales,1,t0000790,accepted
Gunnerales,1,t0000811,accepted
Picramniales,1,t0000826,accepted
Berberidopsidales,1,t0000831,accepted
Metteniusales,1,t0002283,accepted
Vahliales,1,t0002284,accepted
Escalloniales,1,t0000843,accepted
Bruniales,1,t0000844,accepted
Paracryphiales,1,t0000845,accepted
Matoniaceae,1,[],
Anemiaceae,1,[],
Thyrsopteridaceae,1,[],
Loxsomataceae,1,[],
Culcitaceae,1,[],
Dicksoniaceae,1,[],
Metaxyaceae,1,[],
Lonchitidaceae,1,[],
Saccolomataceae,1,[],
Cystodiaceae,1,[],
Welwitschiaceae,,,
Gnetaceae,,,
Ephedraceae,,,
Sciadopityaceae,,,
Hydatellaceae,,,
Austrobaileyaceae,,,
Trimeniaceae,,,
Canellaceae,,,
Winteraceae,,,
Degeneriaceae,,,
Himantandraceae,,,
Eupomatiaceae,,,
Siparunaceae,,,
Gomortegaceae,,,
Atherospermataceae,,,
Monimiaceae,,,
Tofieldiaceae,,,
Butomaceae,,,
Scheuchzeriaceae,,,
Maundiaceae,,,
Posidoniaceae,,,
Taccaceae,1,t0002323,not-accepted
Velloziaceae,,,
Campynemataceae,,,
Corsiaceae,,,
Petermanniaceae,,,
Philesiaceae,,,
Rhipogonaceae,,,
Boryaceae,,,
Blandfordiaceae,,,
Asteliaceae,,,
Lanariaceae,,,
Doryanthaceae,,,
Ixioliriaceae,,,
Tecophilaeaceae,,,
Xeronemataceae,,,
Dasypogonaceae,,,
Hanguanaceae,,,
Haemodoraceae,,,
Lowiaceae,,,
Rapateaceae,,,
Mayacaceae,,,
Thurniaceae,,,
Restionaceae,,,
Joinvilleaceae,,,
Ecdeiocoleaceae,,,
Eupteleaceae,,,
Circaeasteraceae,,,
Platanaceae,,,
Myrothamnaceae,,,
Gunneraceae,,,
Peridiscaceae,,,
Cercidiphyllaceae,,,
Aphanopetalaceae,,,
Tetracarpaeaceae,,,
Penthoraceae,,,
Cynomoriaceae,,,
Krameriaceae,,,
Quillajaceae,,,
