taxonUUID,taxonRank,kingdom,taiCOLNameCode,tfNameCode,simplifiedScientificName,scientificName,reason,TT_URL
d419e737-9e98-443d-877f-f3d5e09b9cf3,subclass,Plantae,t0000562,"",Psilotidae,Psilotidae,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/d419e737-9e98-443d-877f-f3d5e09b9cf3
c85b5302-26d6-4fdd-be70-b3e39fc1c417,subclass,Plantae,t0000562,"",Ophioglossidae,Ophioglossidae,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/c85b5302-26d6-4fdd-be70-b3e39fc1c417
50e00070-143f-46d8-966f-0211c21f0ace,family,Plantae,t0002323,"",Dioscoreaceae,Dioscoreaceae,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/50e00070-143f-46d8-966f-0211c21f0ace
dc2848e6-48dd-47c5-a543-0e5325c6cf8a,family,Plantae,t0002323,"",Taccaceae,Taccaceae,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/dc2848e6-48dd-47c5-a543-0e5325c6cf8a
874d9919-9813-470a-8973-fb07926d7ba1,family,Fungi,t0003454,"",Polyporaceae,Polyporaceae,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/874d9919-9813-470a-8973-fb07926d7ba1
4591e472-9f58-42c4-ba74-609157e53218,family,Fungi,t0003454,"",Ganodermataceae,Ganodermataceae,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/4591e472-9f58-42c4-ba74-609157e53218
c3e6a6bd-29f0-476d-ac8c-9bc111cfa4e6,genus,Plantae,t0009032,"",Leptolepia,Leptolepia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/c3e6a6bd-29f0-476d-ac8c-9bc111cfa4e6
a22b4dfa-1623-4a3d-bc6b-3d10b8bb9c2a,genus,Plantae,t0009032,"",Oenotrichia,Oenotrichia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/a22b4dfa-1623-4a3d-bc6b-3d10b8bb9c2a
e0e38713-0e8c-4a0a-8661-1b64c4207c99,genus,Plantae,t0009032,"",Dennstaedtia,Dennstaedtia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/e0e38713-0e8c-4a0a-8661-1b64c4207c99
4ebdcad5-b566-49ba-97ce-ca293c38dbc4,genus,Plantae,t0024222,"",Magnolia,Magnolia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/4ebdcad5-b566-49ba-97ce-ca293c38dbc4
34372d0f-cf4b-4698-a8ba-69dbb91f3314,genus,Plantae,t0024222,"",Michelia,Michelia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/34372d0f-cf4b-4698-a8ba-69dbb91f3314
2dc58bd1-6800-4498-a187-176cb8be8a1e,genus,Plantae,t0023351,"",Calanthe,Calanthe,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/2dc58bd1-6800-4498-a187-176cb8be8a1e
8b3e89f0-39cd-4a7c-bf46-8f175e533fc5,genus,Plantae,t0023351,"",Cephalantheropsis,Cephalantheropsis,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/8b3e89f0-39cd-4a7c-bf46-8f175e533fc5
408d13e0-a269-4011-afc9-6b7d88e30a62,genus,Plantae,t0023351,"",Paraphaius,Paraphaius,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/408d13e0-a269-4011-afc9-6b7d88e30a62
bf7e6655-1598-4e9b-b51b-4651dfc3cc4c,genus,Plantae,t0023351,"",Phaius,Phaius,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/bf7e6655-1598-4e9b-b51b-4651dfc3cc4c
4275e08a-f3a6-43ef-a264-73dd83f25a4f,genus,Plantae,t0023351,"",Styloglossum,Styloglossum,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/4275e08a-f3a6-43ef-a264-73dd83f25a4f
74cf6f20-cb4d-4d1e-b22b-ca062565dd67,genus,Plantae,t0025085,"",Vanda,Vanda,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/74cf6f20-cb4d-4d1e-b22b-ca062565dd67
831a5291-4b24-4e9a-9fbc-fcfb5b14aeac,genus,Plantae,t0025085,"",Euanthe,Euanthe,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/831a5291-4b24-4e9a-9fbc-fcfb5b14aeac
66b33dc5-298d-4d97-a906-dfdf9c532ca9,genus,Plantae,t0002523,"",Campylandra,Campylandra,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/66b33dc5-298d-4d97-a906-dfdf9c532ca9
9db8652b-669d-4e5b-96bd-f76378cb4e5f,genus,Plantae,t0002523,"",Rohdea,Rohdea,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/9db8652b-669d-4e5b-96bd-f76378cb4e5f
30e83e13-7764-4bae-97db-60a9341dc098,genus,Plantae,t0002629,"",Breynia,Breynia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/30e83e13-7764-4bae-97db-60a9341dc098
d930584e-9040-4e5a-a6e8-2ba337312737,genus,Plantae,t0002629,"",Synostemon,Synostemon,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/d930584e-9040-4e5a-a6e8-2ba337312737
5b9d09e0-8743-4f09-9a4d-a0a81627017b,genus,Plantae,t0023832,"",Eutrema,Eutrema,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/5b9d09e0-8743-4f09-9a4d-a0a81627017b
ba0fcebf-ecb8-4df2-b6b5-894eaf75d81b,genus,Plantae,t0023832,"",Wasabia,Wasabia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/ba0fcebf-ecb8-4df2-b6b5-894eaf75d81b
1dacdd11-b3b5-477d-a888-221f94f2ce3f,genus,Plantae,t0002687,"",Cardiandra,Cardiandra,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/1dacdd11-b3b5-477d-a888-221f94f2ce3f
6050b164-f36e-4988-b009-0d77ff453cf6,genus,Plantae,t0002687,"",Hydrangea,Hydrangea,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/6050b164-f36e-4988-b009-0d77ff453cf6
6f1a6779-6e1e-4d01-ae0b-4cf09f4a59c6,genus,Plantae,t0002687,"",Pileostegia,Pileostegia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/6f1a6779-6e1e-4d01-ae0b-4cf09f4a59c6
983644c4-941f-4c3b-be84-7df623ea80c9,genus,Plantae,t0002687,"",Schizophragma,Schizophragma,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/983644c4-941f-4c3b-be84-7df623ea80c9
f6861ff4-e330-4b5a-88ee-8c41fcd68377,genus,Plantae,t0002688,"",Benthamidia,Benthamidia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/f6861ff4-e330-4b5a-88ee-8c41fcd68377
f6526d29-ca73-4e61-bbdb-8278c69fc17e,genus,Plantae,t0002688,"",Cornus,Cornus,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/f6526d29-ca73-4e61-bbdb-8278c69fc17e
4abe28e2-a08f-4f58-b75e-e38846c4b165,genus,Plantae,t0002696,"",Anagallis,Anagallis,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/4abe28e2-a08f-4f58-b75e-e38846c4b165
be24c702-d13e-4ca6-8764-2ead1fd4b6b2,genus,Plantae,t0002696,"",Lysimachia,Lysimachia,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/be24c702-d13e-4ca6-8764-2ead1fd4b6b2
4e1684d6-43f7-403f-a704-3112173a774b,genus,Plantae,t0002696,"",Glaux,Glaux,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/4e1684d6-43f7-403f-a704-3112173a774b
a619041e-da1e-4666-8c74-e5829bd8bbff,genus,Plantae,t0002696,"",Trientalis,Trientalis,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/a619041e-da1e-4666-8c74-e5829bd8bbff
817c567f-a8ff-473f-9a3c-01ab56d0af81,genus,Plantae,t0002519,"",Tylophora,Tylophora,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/817c567f-a8ff-473f-9a3c-01ab56d0af81
cb603d38-7e95-4f0a-8cca-bc90f6753f46,genus,Plantae,t0002795,"",Heliotropium,Heliotropium,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/cb603d38-7e95-4f0a-8cca-bc90f6753f46
0d710e9d-a114-48fc-bc1c-e23047efa39a,species,Plantae,t0074122,"",Gloriosa superba,Gloriosa superba L.,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/0d710e9d-a114-48fc-bc1c-e23047efa39a
3e7404a6-6312-4440-8f17-63d4a4ba5fb3,infraspecies,Plantae,t0084633,"",Skimmia japonica distincte-venulosa orthoclada,Skimmia japonica subsp. distincte-venulosa (Hayata) T.C.Ho var. orthoclada,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/3e7404a6-6312-4440-8f17-63d4a4ba5fb3
0d0556eb-8aca-43e9-b8c3-73e441d9f07d,genus,Plantae,t0023205,"",Aptychella,Aptychella,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/0d0556eb-8aca-43e9-b8c3-73e441d9f07d
1eb8ceae-a575-4fe8-a39c-e0f65f8d52f2,genus,Plantae,t0023205,"",Clastobryopsis,Clastobryopsis,taiCOLNameCode重複,https://vvtaxatree.tbn.org.tw/taxa/1eb8ceae-a575-4fe8-a39c-e0f65f8d52f2
