taxonUUID,taxonRank,kingdom,simplifiedScientificName,specificEpithet,subspecies,variety,form,cultigen,authorship,subspeciesAuthorship,varietyAuthorship,formAuthorship,errortypes,TT_URL
7470927c-8a21-4678-817d-d36bf1b95559,genus,Plantae,× Ascocenda,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/7470927c-8a21-4678-817d-d36bf1b95559
da0101e9-de59-4995-ae66-0b82fd9d74b0,genus,Plantae,× Brassidium,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/da0101e9-de59-4995-ae66-0b82fd9d74b0
d6f16a2f-ccee-4f77-9148-ae151d07ab56,genus,Plantae,× Brassocattleya,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/d6f16a2f-ccee-4f77-9148-ae151d07ab56
2680221a-8700-42ac-b78d-7b660a7f78fb,genus,Plantae,× Brassolaelia,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/2680221a-8700-42ac-b78d-7b660a7f78fb
889f9d13-251e-4652-b08d-3ab73eb2b602,genus,Plantae,× Brassolaeliocattleya,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/889f9d13-251e-4652-b08d-3ab73eb2b602
fa501f1f-585e-4959-adb6-270e1b06f858,genus,Plantae,× Doritaenopsis,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/fa501f1f-585e-4959-adb6-270e1b06f858
828b03e7-4355-4a9b-8a3b-db76765ab52c,genus,Plantae,× Epiphronitis,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/828b03e7-4355-4a9b-8a3b-db76765ab52c
8b3a9355-79b3-429b-836b-51b3c607c2b6,genus,Plantae,× Laeliocattleya,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/8b3a9355-79b3-429b-836b-51b3c607c2b6
3776d92e-90b6-453c-8c61-a4010ec9936f,genus,Plantae,× Potinara,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/3776d92e-90b6-453c-8c61-a4010ec9936f
18134326-6ae7-4720-9341-614311089841,genus,Plantae,× Sophrolaeliocattleya,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/18134326-6ae7-4720-9341-614311089841
a6484789-5787-48ba-851a-233ac536ee2a,genus,Plantae,× Vandachostylis,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/a6484789-5787-48ba-851a-233ac536ee2a
df8c669c-cfa7-441c-a364-571c601c9037,genus,Plantae,× Vandaenopsis,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/df8c669c-cfa7-441c-a364-571c601c9037
18e1a9b1-137d-4826-956e-5c19d1baf556,genus,Plantae,× Vandanthe,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/18e1a9b1-137d-4826-956e-5c19d1baf556
d9cc5769-e6f7-491f-b76a-b633f29637db,genus,Plantae,× Phalandopsis,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/d9cc5769-e6f7-491f-b76a-b633f29637db
66eca753-5f9a-48c7-b908-199722e9998d,species,Animalia,,Kayashimai,,,,,,,,,大小寫錯誤,https://vvtaxatree.tbn.org.tw/taxa/66eca753-5f9a-48c7-b908-199722e9998d
fa561dd6-3909-42f3-9bc2-e4444c64c707,species,Animalia,,sp.,,,,,,,,,錯誤符號與括號前後空格,https://vvtaxatree.tbn.org.tw/taxa/fa561dd6-3909-42f3-9bc2-e4444c64c707
43fd292b-d3e7-4311-9540-5326b3627890,class,Plantae,Incertae classis,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/43fd292b-d3e7-4311-9540-5326b3627890
1df45c6e-9b6f-499c-8cfb-ad7524f49469,order,Plantae,Incertae ordo,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/1df45c6e-9b6f-499c-8cfb-ad7524f49469
ae9f7e22-26cd-4e30-a788-e380bdabcbb0,family,Plantae,Incertae familia,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/ae9f7e22-26cd-4e30-a788-e380bdabcbb0
1027baf9-badd-47c6-807b-b45fec382348,genus,Plantae,× Rhaphiobotrya,,,,,,,,,,高階層欄位出現多詞格式,https://vvtaxatree.tbn.org.tw/taxa/1027baf9-badd-47c6-807b-b45fec382348
