TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
e6c50f7c-78c3-493e-bf95-50c290f7983e,species,Animalia,t0081508,Nerita (Linnerita) polita,Nerita polita,accepted,TRUE
8e92e329-637d-4b0c-b1e3-9122d7ab9463,species,Animalia,t0065608,Hippeutis umbilicalis,Hippeutis (Helicorbis) umbilicalis,accepted,TRUE
97cd6cb9-d9db-48c6-963a-9fc8fef12b7e,species,Animalia,t0035935,Plagiorhynchus (Prosthorhynchus) bullocki,Plagiorhynchus bullocki,accepted,TRUE
764717fe-5186-4129-8a45-8bae9248bc53,species,Animalia,t0035936,Plagiorhynchus (Prosthorhynchus) charadrii,Plagiorhynchus charadrii,accepted,TRUE
de6d6e90-99c2-49eb-944c-74256d70fc6c,species,Animalia,t0035937,Plagiorhynchus (Prosthorhynchus) golvani,Plagiorhynchus golvani,accepted,TRUE
d9dead89-55de-4bcd-abeb-0eda97d93f4d,species,Animalia,t0035938,Plagiorhynchus (Prosthorhynchus) malayensis,Plagiorhynchus malayensis,accepted,TRUE
7c6b2703-c29f-4f48-9d5d-34b806a5032d,species,Animalia,t0035939,Plagiorhynchus (Prosthorhynchus) taiwanensis,Plagiorhynchus taiwanensis,accepted,TRUE
06e1cb11-7601-41fe-9751-d7fff287e9f7,species,Animalia,t0079282,Coptodera (Coptoderina) eluta,Coptodera eluta,accepted,TRUE
adda6057-bc56-43ef-8ac4-13c6eb0447d6,species,Animalia,t0079283,Coptodera (Coptoderina) flexuosa,Coptodera flexuosa,accepted,TRUE
341ac699-f3c2-4193-98fa-18ac1ce6f7ab,species,Animalia,t0079288,Coptodera (Coptoderina) proksi,Coptodera proksi,accepted,TRUE
fb9c012a-a208-417c-82fa-b88f10c3e675,species,Animalia,t0068259,Macroilleis hauser,Macroailleis hauser,accepted,TRUE
d227dac9-831d-4387-8785-d5af10077751,species,Animalia,t0082262,Onthophagus tricornis,Onthophagus (Parascatonomus) tricornis,accepted,TRUE
ca5e51e0-8ba6-4f48-a5b4-2cbf52c57180,species,Animalia,t0070422,Aesalus (Huaesalus) imanishii,Aesalus imanishii,accepted,TRUE
fd7a10c0-15a2-40ea-aa5c-56ac10673c39,species,Animalia,t0046142,Atomaria (Atomaria) torrida,Atomaria torrida,accepted,TRUE
4e21b164-7312-4efa-900d-2b14a9a8880c,species,Animalia,t0081769,Nosodendron (Dendrodipnis) taiwanense,Nosodendron taiwanense,accepted,TRUE
8d4e8563-e410-447d-96bc-26c665f08fed,species,Animalia,t0056699,Utetheisa (Pitasila) inconstans,Utetheisa inconstans,accepted,TRUE
8ce016f9-8e11-486f-b76e-1d2e53f807e0,species,Animalia,t0056698,Utetheisa (Pitasila) fractifascia,Utetheisa fractifascia,accepted,TRUE
43725e23-42c4-48ab-9cf5-7134e5b0c984,species,Animalia,t0033047,Stenobracon (Stenobracon) oculatus,Stenobracon oculatus,accepted,TRUE
6b5651c4-e47b-4e2d-80c5-47b5965ad108,species,Animalia,t0072254,Armigeres (Armigeres) baisasi,Armigeres baisasi,accepted,TRUE
2b49e094-8a38-4d22-a036-277f0d54accf,species,Animalia,t0072259,Armigeres (Armigeres) subalbatus,Armigeres subalbatus,accepted,TRUE
4d6ee983-3572-4247-89d8-f53be14f9812,species,Animalia,t0072255,Armigeres (Leicesteria) digitatus,Armigeres digitatus,accepted,TRUE
881736e3-a075-4bb1-9347-ceea01996b5e,species,Animalia,t0072256,Armigeres (Leicesteria) flavus,Armigeres flavus,accepted,TRUE
9ac2c818-c847-4d19-8be1-bd15f1f2c054,species,Animalia,t0072258,Armigeres (Leicesteria) omissus,Armigeres omissus,accepted,TRUE
d04e1708-52c5-4269-bb84-0eb3e3d803ab,species,Animalia,t0072253,Armigeres (Leicesteria) annulitarsis,Armigeres annulitarsis,accepted,TRUE
0809d588-e198-47b8-9012-d435fc953df2,species,Animalia,t0065239,Heizmannia (Heizmannia) chengi,Heizmannia chengi,accepted,TRUE
9d516226-72c0-48a8-a142-0644db7143e0,species,Animalia,t0065240,Heizmannia (Heizmannia) lii,Heizmannia lii,accepted,TRUE
ee5e6121-5f3f-48ab-aaa7-a7f6947e4b12,species,Animalia,t0065241,Heizmannia (Heizmannia) macdonaldi,Heizmannia macdonaldi,accepted,TRUE
1fb77c42-554f-493f-a190-421dbb3d6d7b,species,Animalia,t0065242,Heizmannia (Heizmannia) reidi,Heizmannia reidi,accepted,TRUE
c2a6f91c-021f-4c3f-8ad6-d8b1cd164430,species,Animalia,t0065243,Heizmannia (Heizmannia) taiwanensis,Heizmannia taiwanensis,accepted,TRUE
5dab01c4-b84c-4183-8c8e-ce5036bb8c54,species,Animalia,t0065238,Heizmannia (Mattinglyia) catesi,Heizmannia catesi,accepted,TRUE
cec23c7c-26e7-4d5a-a124-24e91cdcc9b1,species,Animalia,t0027705,Macronychia (Moschusa) griseola,Macronychia griseola,accepted,FALSE
0bf4773f-e79d-448b-9f19-39bb5d822d1c,species,Animalia,t0032587,Parasarcophaga (Parasarcophaga) albiceps,Parasarcophaga albiceps,accepted,TRUE
38ca38ee-5a4f-4f55-b8ae-57ea59dce4be,species,Animalia,t0038168,Robineauella (Digitiventra) anchoriformis,Robineauella anchoriformis,accepted,TRUE
d581d404-8104-4ad2-b77f-c15a003adc49,species,Animalia,t0038171,Lioproctia (Burmanomyia) beesoni,Lioproctia beesoni,accepted,TRUE
afc0b6e2-ec38-4598-b347-30f696c8d5b5,species,Animalia,t0038172,Liosarcophaga (Liosarcophaga) kohla,Liosarcophaga kohla,accepted,TRUE
f9d12da3-874f-4926-bf71-25f7c7494673,species,Animalia,t0038173,Asceloctella (Asceloctella) calicifera,Asceloctella calicifera,accepted,TRUE
cc113da1-63fb-459c-a17f-8baad50dd603,species,Animalia,t0038176,Parasarcophaga (Sinonipponia) concreata,Parasarcophaga concreata,accepted,TRUE
b01f0eb6-b917-40d4-993e-898e072d84b1,species,Animalia,t0032588,Sarcosolomonia (Parkerimyia) crinita,Sarcosolomonia crinita,accepted,TRUE
52fab617-1cac-4ca4-af6d-0d496e2efafb,species,Animalia,t0032589,Liosarcophaga (Liosarcophaga) dux,Liosarcophaga dux,accepted,TRUE
f77e3ff4-174e-4389-b227-64b1a3ca22c4,species,Animalia,t0038181,Parasarcophaga (Sinonipponia) hainanensis,Parasarcophaga hainanensis,accepted,TRUE
78d9562b-bc01-47bf-8fe6-2d3890150b54,species,Animalia,t0038182,Parasarcophaga (Sinonipponia) hervebazini,Parasarcophaga hervebazini,accepted,TRUE
ab79e586-2b3f-4943-8d2e-d6450bcbe587,species,Animalia,t0038183,Liosarcophaga (Liosarcophaga) idmais,Liosarcophaga idmais,accepted,TRUE
7908aa41-113f-4726-8c26-bf754436d442,species,Animalia,t0038185,Liosarcophaga (Curranea) iwuensis,Liosarcophaga iwuensis,accepted,TRUE
4c72dd87-228d-4a0f-a41f-8f4b91b88606,species,Animalia,t0038187,Myorhina (Pachystyleta) lini,Myorhina lini,accepted,TRUE
1f28d994-f9d3-45c1-880b-ee70a5b6c9aa,species,Animalia,t0038188,Helicophagella (Parabellieria) melanura,Helicophagella melanura,accepted,TRUE
85fcba59-9ab8-48f5-868d-bde02d219e47,species,Animalia,t0032591,Parasarcophaga (Parasarcophaga) misera,Parasarcophaga misera,accepted,TRUE
421622d4-b112-4fb0-ae8b-94340f22ba5e,species,Animalia,t0038193,Lioproctia (Coonoria) pattoni,Lioproctia pattoni,accepted,TRUE
11b6fa1b-3b81-47c4-8964-d727cfef32c7,species,Animalia,t0032593,Liopygia (Liopygia) ruficornis,Liopygia ruficornis,accepted,TRUE
02f198c8-3792-47de-bac3-163a291cad59,species,Animalia,t0038196,Liosarcophaga (Liosarcophaga) scopariiformis,Liosarcophaga scopariiformis,accepted,TRUE
eccb53e6-1105-419e-8064-75f50c927f19,species,Animalia,t0032594,Parasarcophaga (Parasarcophaga) taenionota,Parasarcophaga taenionota,accepted,TRUE
7ec32710-dec9-48b7-beee-ae9841b6b705,species,Animalia,t0038198,Liosarcophaga (Pandelleisca) tristylata,Liosarcophaga tristylata,accepted,TRUE
ab2c9f79-e769-4ce4-90e8-0ed9999b2ac4,species,Animalia,t0038200,Liosarcophaga (Liosarcophaga) tuberosa,Liosarcophaga tuberosa,accepted,TRUE
07e5d6ee-cf0d-4048-933e-16a986180662,species,Animalia,t0062461,Elephantomyia luculenta,Elephantomyia (Elephantomyia) luculenta,accepted,TRUE
8ce908ab-06eb-4702-b2d8-bfc6c1685c71,species,Animalia,t0062462,Elephantomyia serotina,Elephantomyia (Elephantomyia) serotina,accepted,TRUE
615d158c-897d-4a6b-b93f-d9f64c3f5558,species,Animalia,t0047471,Tipula (Formotipula) holoserica,Tipula holoserica,accepted,TRUE
0403760a-0c1a-4c44-aa56-22bfcfda4b4c,species,Animalia,t0037323,Pteronemobius (Pteronemobius) caudatus,Pteronemobius caudatus,accepted,TRUE
9ef3ff3a-2ba2-4d3f-80f8-a88bd9d6f218,species,Animalia,t0037324,Pteronemobius (Pteronemobius) ohmachii,Pteronemobius ohmachii,accepted,TRUE
