TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
5cc3c4f2-ed66-437c-89e4-1b3c84e70eb7,infraspecies,Animalia,t0084942,Papilio paris paris nakaharai,subspecies,Animalia,Papilio paris nakaharai,accepted,TRUE
b33560e4-07c5-4ef3-bfb0-358e6edef699,infraspecies,Animalia,t0086331,Tectocepheus velatus velatus sarekensis,subspecies,Animalia,Tectocepheus velatus sarekensis,accepted,TRUE
3f7a043a-1eab-488c-a709-2fbc9d6a751d,infraspecies,Animalia,t0086341,Tetraclita japonica japonica formosana,subspecies,Animalia,Tetraclita japonica formosana,accepted,TRUE
b77b7b07-7229-4a10-a0e1-c63f3b68ec1c,infraspecies,Animalia,t0030060,Callionymus persicus persicus izuensis,subspecies,Animalia,Callionymus persicus izuensis,accepted,TRUE
86411be4-c1f1-43b5-8750-fcdd950eed87,infraspecies,Animalia,t0031284,Oncorhynchus masou masou formosanus,subspecies,Animalia,Oncorhynchus masou formosanus,accepted,TRUE
911e3b0f-cbd0-4d95-9509-eb2e063de7ea,infraspecies,Animalia,t0085439,Anarhynchus mongolus mongolus mongolus,subspecies,Animalia,Anarhynchus mongolus mongolus,accepted,TRUE
e6c50f7c-78c3-493e-bf95-50c290f7983e,species,Animalia,t0081508,Nerita (Linnerita) polita,species,Animalia,Nerita polita,accepted,TRUE
071e2b93-feb0-4d32-a311-1c74ef1d27e5,infraspecies,Animalia,t0081812,Nipponacmea schrenckii schrenckii boninensis,subspecies,Animalia,Notoacmea schrenckii boninensis,accepted,TRUE
8e92e329-637d-4b0c-b1e3-9122d7ab9463,species,Animalia,t0065608,Hippeutis umbilicalis,species,Animalia,Hippeutis (Helicorbis) umbilicalis,accepted,TRUE
c8a1a0cd-11d7-4a01-863d-a694797e72cf,infraspecies,Animalia,t0085231,Amynthas nanganensis nanganensis nanganensis,subspecies,Animalia,Amynthas nanganensis nanganensis,accepted,TRUE
5074a45d-da42-4fa2-9275-3cea6cfc6b1f,infraspecies,Animalia,t0085230,Amynthas nanganensis nanganensis beiganensis,subspecies,Animalia,Amynthas nanganensis beiganensis,accepted,TRUE
b9cd7aa3-02a3-4b6d-9cd1-aca151acd24e,infraspecies,Animalia,t0085901,Metaphire nanaoensis nanaoensis nanaoensis,subspecies,Animalia,Metaphire nanaoensis nanaoensis,accepted,TRUE
92535ed9-27e6-4022-b3b1-3a98e7fc200c,infraspecies,Animalia,t0085907,Metaphire taiwanensis taiwanensis taiwanensis,subspecies,Animalia,Metaphire taiwanensis taiwanensis,accepted,TRUE
c8e043e7-3696-468b-9fb8-d70e57546b71,infraspecies,Animalia,t0085902,Metaphire nanaoensis nanaoensis truku,subspecies,Animalia,Metaphire nanaoensis truku,accepted,TRUE
d10e3f78-6cd3-41de-bc4f-4834cb0ab0cb,infraspecies,Animalia,t0085908,Metaphire taiwanensis taiwanensis tsaii,subspecies,Animalia,Metaphire taiwanensis tsaii,accepted,TRUE
97cd6cb9-d9db-48c6-963a-9fc8fef12b7e,species,Animalia,t0035935,Plagiorhynchus (Prosthorhynchus) bullocki,species,Animalia,Plagiorhynchus bullocki,accepted,TRUE
764717fe-5186-4129-8a45-8bae9248bc53,species,Animalia,t0035936,Plagiorhynchus (Prosthorhynchus) charadrii,species,Animalia,Plagiorhynchus charadrii,accepted,TRUE
de6d6e90-99c2-49eb-944c-74256d70fc6c,species,Animalia,t0035937,Plagiorhynchus (Prosthorhynchus) golvani,species,Animalia,Plagiorhynchus golvani,accepted,TRUE
d9dead89-55de-4bcd-abeb-0eda97d93f4d,species,Animalia,t0035938,Plagiorhynchus (Prosthorhynchus) malayensis,species,Animalia,Plagiorhynchus malayensis,accepted,TRUE
7c6b2703-c29f-4f48-9d5d-34b806a5032d,species,Animalia,t0035939,Plagiorhynchus (Prosthorhynchus) taiwanensis,species,Animalia,Plagiorhynchus taiwanensis,accepted,TRUE
b26feeb6-ddf2-402c-95c9-0112fee44780,infraspecies,Animalia,t0086084,Perscheloribates clavatus clavatus torquatu,subspecies,Animalia,Perscheloribates clavatus torquatu,accepted,TRUE
8d708b22-6aca-416a-bf08-ae1ba742a467,infraspecies,Animalia,t0085327,Belba verrucosa verrucosa japonica,subspecies,Animalia,Belba verrucosa japonica,accepted,TRUE
16c1850f-e30a-41ad-be9c-2e833c05ff34,infraspecies,Animalia,t0086054,Parachipteria distincta distincta incurva,subspecies,Animalia,Parachipteria distincta incurva,accepted,TRUE
9e129a0f-5c10-48fd-8586-419659dfb593,infraspecies,Animalia,t0085587,Dolichermaeus infrequens infrequens taiwanus,subspecies,Animalia,Dolichermaeus infrequens taiwanus,accepted,TRUE
dcf4a0e0-fc20-442b-aae6-4ea0cc2b4306,infraspecies,Animalia,t0086080,Pergalumna magnipora magnipora capillaris,subspecies,Animalia,Pergalumna magnipora capillaris,accepted,TRUE
c41aafa7-54ea-4ff2-8a04-6ee407e60e35,infraspecies,Animalia,t0085748,Heterobelba stellifera stellifera formosana,subspecies,Animalia,Heterobelba stellifera formosana,accepted,TRUE
0395e14d-030d-4ea9-aa04-4c0a0a62be24,infraspecies,Animalia,t0085554,Defectamerus crassisetiger crassisetiger australis,subspecies,Animalia,Defectamerus crassisetiger australis,accepted,TRUE
5f2e8112-e9ce-4b56-a905-c8ea839adcc3,infraspecies,Animalia,t0085114,Withius australasiae australasiae formosanus,subspecies,Animalia,Withius australasiae formosanus,accepted,TRUE
a2f9fe78-7be6-492a-b2fc-f757699dbdc7,infraspecies,Animalia,t0086367,Tokunosia tenuipes tenuipes taiwana,subspecies,Animalia,Tokunosia tenuipes taiwana,accepted,TRUE
64d839e2-2601-417c-978c-23e5d65d29dd,infraspecies,Animalia,t0085818,Leiobunum japonicum japonicum taiwanum,subspecies,Animalia,Leiobunum japonicum taiwanum,accepted,TRUE
4a693596-7692-4f73-9b17-5ab799b19b3f,infraspecies,Animalia,t0085819,Leiobunum maximum maximum formosum,subspecies,Animalia,Leiobunum maximum formosum,accepted,TRUE
be5562e8-d056-4c97-8515-a51f7a8d4fe8,infraspecies,Animalia,t0085820,Leiobunum maximum maximum yushan,subspecies,Animalia,Leiobunum maximum yushan,accepted,TRUE
77f4f2f9-df58-420c-9989-729650ea035a,infraspecies,Animalia,t0085549,Cythere lutea lutea omotenipponica,subspecies,Animalia,Cythere lutea omotenipponica,accepted,TRUE
4cd5b696-2453-4ec7-ad2a-e3a71fd7d325,infraspecies,Animalia,t0085550,Cythere lutea lutea uranipponica,subspecies,Animalia,Cythere lutea uranipponica,accepted,TRUE
4d977426-49e3-453c-b5f5-3770bc7b5925,infraspecies,Animalia,t0085636,Ephyrina figueirai figueirai spinicauda,subspecies,Animalia,Ephyrina figueirai spinicauda,accepted,TRUE
563485bf-6e92-4f81-af9f-cd910f1d4083,infraspecies,Animalia,t0086062,Parapontophilus gracilis gracilis junceus,subspecies,Animalia,Parapontophilus gracilis junceus,accepted,TRUE
656b6235-4254-498a-890d-4b825967e93d,infraspecies,Animalia,t0085899,Metapenaeopsis mogiensis mogiensis intermedia,subspecies,Animalia,Metapenaeopsis mogiensis intermedia,accepted,TRUE
6bae5433-d890-4705-93fb-597f4f53516b,infraspecies,Animalia,t0085125,Metapenaeopsis provocatoria provocatoria longirostris,subspecies,Animalia,Metapenaeopsis provocatoria longirostris,accepted,TRUE
95823ffe-c430-4dc9-91d6-ec1e42306639,infraspecies,Animalia,t0086077,Penaeus latisulcatus latisulcatus hathor,subspecies,Animalia,Penaeus latisulcatus hathor,accepted,TRUE
d6dca9ff-465e-48c9-880d-153993842e3e,infraspecies,Animalia,t0086050,Panulirus longipes longipes bispinosus,subspecies,Animalia,Panulirus longipes bispinosus,accepted,TRUE
b18298cf-817f-4096-b802-2fd9fa3c24d5,infraspecies,Animalia,t0086051,Panulirus longipes longipes longipes,subspecies,Animalia,Panulirus longipes longipes,accepted,TRUE
c44c863f-1a0f-46d3-a732-370225532e1b,infraspecies,Animalia,t0085563,Diacyclops crassicaudis crassicaudis taipehensis,subspecies,Animalia,Diacyclops crassicaudis taipehensis,accepted,TRUE
5dfedc44-da6e-44ac-9240-f0708d63bb99,infraspecies,Animalia,t0085871,Macrocyclops albidus albidus oligolasius,subspecies,Animalia,Macrocyclops albidus oligolasius,accepted,TRUE
