taxonUUID_x,TT_tfNameCode,taxonRank_x,TT_scientificName,TT_speciesKey,taxonUUID_y,TF_tfNameCode,分類處理狀態,cattfNameCode,taxonRank_y,nativeness,TF_scientificName,simplifiedScientificName,TF_speciesKey
88a7facc-492e-457e-98c7-73ce5329017e,C303120000000000000000000000000000000,kingdom,Plantae,Plantae,88a7facc-492e-457e-98c7-73ce5329017e,C303120000000000000000000000000000000,accepted name 接受名,,kingdom,原生 Native,Plantae,Plantae,Plantae
28731836-31a0-45ee-a2a3-c141f6c9698b,C303120300000000000000000000000000000,subkingdom,Viridiplantae,Plantae-Viridiplantae,28731836-31a0-45ee-a2a3-c141f6c9698b,C303120300000000000000000000000000000,accepted name 接受名,,subkingdom,原生 Native,Viridiplantae,Viridiplantae,Plantae-Viridiplantae
84d66a1e-e183-4a24-9764-62ad5c87ee24,C303120302000000000000000000000000000,superphylum,Chlorophytes,Plantae-Viridiplantae-Chlorophytes,84d66a1e-e183-4a24-9764-62ad5c87ee24,C303120302000000000000000000000000000,accepted name 接受名,,superphylum,原生 Native,Chlorophytes,Chlorophytes,Plantae-Viridiplantae-Chlorophytes
0ea931ec-3d72-4ea9-9848-f42a1f973bef,C303120303000000000000000000000000000,superphylum,Streptophyta,Plantae-Viridiplantae-Streptophyta,0ea931ec-3d72-4ea9-9848-f42a1f973bef,C303120303000000000000000000000000000,accepted name 接受名,,superphylum,原生 Native,Streptophyta,Streptophyta,Plantae-Viridiplantae-Streptophyta
8973cf04-1c50-4e7f-9536-08fbdf4d101e,C303120303050000000000000000000000000,phylum,Embryophyta,Plantae-Viridiplantae-Streptophyta-Embryophyta,8973cf04-1c50-4e7f-9536-08fbdf4d101e,C303120303050000000000000000000000000,accepted name 接受名,,phylum,原生 Native,Embryophyta,Embryophyta,Plantae-Viridiplantae-Streptophyta-Embryophyta
a058395d-ef45-4ba9-8944-e5796de70d58,C303120303050400000000000000000000000,subphylum,Tracheophytina,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina,a058395d-ef45-4ba9-8944-e5796de70d58,C303120303050400000000000000000000000,accepted name 接受名,,subphylum,原生 Native,Tracheophytina,Tracheophytina,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina
66d71e3a-fdee-41c1-9d86-1eaed0814d8a,C303120303050401000000000000000000000,superclass,Lycophytes,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes,66d71e3a-fdee-41c1-9d86-1eaed0814d8a,C303120303050401000000000000000000000,accepted name 接受名,,superclass,原生 Native,Lycophytes,Lycophytes,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes
4660d8c7-a841-4c28-924a-873b42df4c96,C303120303050402000000000000000000000,superclass,Euphyllophytes,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes,4660d8c7-a841-4c28-924a-873b42df4c96,C303120303050402000000000000000000000,accepted name 接受名,,superclass,原生 Native,Euphyllophytes,Euphyllophytes,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes
13ec219d-d34f-4654-9bd4-a1c151a12ba2,C303120303050401010000000000000000000,class,Lycopodiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Lycopodiopsida,13ec219d-d34f-4654-9bd4-a1c151a12ba2,C303120303050401010000000000000000000,accepted name 接受名,,class,原生 Native,Lycopodiopsida,Lycopodiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Lycopodiopsida
98b9a434-cbbf-4a74-9806-c0213bb4174b,C303120303050401020000000000000000000,class,Isoetopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Isoetopsida,98b9a434-cbbf-4a74-9806-c0213bb4174b,C303120303050401020000000000000000000,accepted name 接受名,,class,原生 Native,Isoetopsida,Isoetopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Isoetopsida
1d77bcab-859b-482c-bf8e-054c4e432060,C303120303050402010000000000000000000,class,Equisetopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Equisetopsida,1d77bcab-859b-482c-bf8e-054c4e432060,C303120303050402010000000000000000000,accepted name 接受名,,class,原生 Native,Equisetopsida,Equisetopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Equisetopsida
da05bb3c-78cd-40ab-9742-701cb694f50d,C303120303050402020000000000000000000,class,Psilotopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Psilotopsida,da05bb3c-78cd-40ab-9742-701cb694f50d,C303120303050402020000000000000000000,accepted name 接受名,,class,原生 Native,Psilotopsida,Psilotopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Psilotopsida
734b9beb-f241-4b6b-b450-778beee26c52,C303120303050402030000000000000000000,class,Marattiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Marattiopsida,734b9beb-f241-4b6b-b450-778beee26c52,C303120303050402030000000000000000000,accepted name 接受名,,class,原生 Native,Marattiopsida,Marattiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Marattiopsida
7506c430-f88b-40e2-b4ad-22f068eb4bac,C303120303050402040000000000000000000,class,Polypodiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida,7506c430-f88b-40e2-b4ad-22f068eb4bac,C303120303050402040000000000000000000,accepted name 接受名,,class,原生 Native,Polypodiopsida,Polypodiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida
