taxonUUID,TT_tfNameCode,taxonRank,TT_scientificName,TT_speciesKey
dda23863-c926-4aee-9f19-e999052e6324,,order,Pyramimonadales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Pyramimonadophyceae-Pyramimonadales-Pyramimonadales
63d4dce0-cc39-4f7d-b451-936c1d439b0f,,genus,Tetraselmis,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorodendrophyceae-Chlorodendrales-Chlorodendraceae-Tetraselmis-Tetraselmis
d3482b07-e2d4-4f23-a2c3-fc493e52de96,,family,Botryococcaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Trebouxiophyceae-Trebouxiales-Botryococcaceae-Botryococcaceae
db1592e6-96a3-4004-96a2-187575473655,,genus,Halosphaera,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Pyramimonadophyceae-Pyramimonadales-Pyramimonadaceae-Halosphaera-Halosphaera
914b45f6-870c-4066-883c-0a83d4da6b8b,,phylum,Chlorophyta,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyta
6b7b23fb-0fbd-464e-a83d-b1b1b8aceb43,,class,Trebouxiophyceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Trebouxiophyceae-Trebouxiophyceae
83e18e56-c269-4560-bd38-fc4d5791c775,,order,Chlorellales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Trebouxiophyceae-Chlorellales-Chlorellales
35c2f033-7a05-4cf9-adbf-0c9690e9bdd3,,family,Chlorellaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Trebouxiophyceae-Chlorellales-Chlorellaceae-Chlorellaceae
35098854-7b53-4742-aeef-00ffefad6a4c,,class,Chlorophyceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorophyceae
283849f4-b2af-4bf4-9f3c-56f652358855,,order,Tetrasporales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Tetrasporales-Tetrasporales
393c1148-f3c6-43c9-911c-a83b19f73761,,family,Gloeocystaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Tetrasporales-Gloeocystaceae-Gloeocystaceae
23bfdb90-a8a5-44f9-af78-cacd4bd0681b,,family,Palmellaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Tetrasporales-Palmellaceae-Palmellaceae
6501640e-66ea-4632-a835-f6490684e2e3,,class,Ulvophyceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Ulvophyceae
b9aa8575-b5b2-4b94-aaae-975548205a6e,,order,Ulvales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Ulvales-Ulvales
cc55f162-08cd-448a-8588-1843fd021487,,family,Ulvaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Ulvales-Ulvaceae-Ulvaceae
f0a6d155-fdc0-43d1-a604-09f466555ee8,,order,Volvocales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Volvocales-Volvocales
d9d19103-642d-4a49-be74-302f14f70b1c,,family,Chlamydomonadaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Volvocales-Chlamydomonadaceae-Chlamydomonadaceae
b5c53bc4-0e24-44a0-9c02-9f34a050960a,,family,Volvocaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Volvocales-Volvocaceae-Volvocaceae
9dd6b26f-32e8-4819-ac92-6f03a537bbef,,order,Chlorococcales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorococcales-Chlorococcales
55942c25-1627-4c9b-8464-ffac1acf7c59,,family,Hydrodictyaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorococcales-Hydrodictyaceae-Hydrodictyaceae
10f5203a-4ba9-49f3-a703-c318f670715c,,family,Oocystaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorococcales-Oocystaceae-Oocystaceae
13cdd4ba-f0b9-4d6e-9542-f90c26e041d5,,family,Coelastraceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorococcales-Coelastraceae-Coelastraceae
69e4f27b-69b1-4394-8de0-be0cf9c23061,,family,Scenedesmaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorococcales-Scenedesmaceae-Scenedesmaceae
a92f903f-458e-48ae-b2bd-8955fa675877,,family,Radiococcaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorococcales-Radiococcaceae-Radiococcaceae
d9765d5f-a491-4b8d-9c82-8bee784d611c,,family,Chlorococcaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorococcales-Chlorococcaceae-Chlorococcaceae
98d86732-4745-40d8-963d-d67af778ea43,,family,Dictyosphaeriaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorococcales-Dictyosphaeriaceae-Dictyosphaeriaceae
b657487b-ee2c-4674-8b40-2997a54fa551,,order,Oedogoniales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Oedogoniales-Oedogoniales
41b34ef4-c5eb-4d04-a309-86fbc2ce0875,,family,Oedogoniaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Oedogoniales-Oedogoniaceae-Oedogoniaceae
aab656bf-60d5-4db4-9a09-a533026836c9,,class,Zygnematophyceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematophyceae
0be36994-8b02-4bd1-b545-fe7e6107d910,,order,Zygnematales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Zygnematales
3783aa3a-fb32-4665-8ce6-fe30faa580bf,,family,Desmidiaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Desmidiaceae
e2c3e7cd-c6b1-4f35-aa5a-0e3c2511e94b,,family,Zygnemataceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Zygnemataceae-Zygnemataceae
c465fde5-a88f-40fe-ab32-7b6e8c5d5e36,,family,Mesotaeniaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Mesotaeniaceae-Mesotaeniaceae
287e924b-3f31-4cc0-a935-b042b0c264d7,,order,Chaetophorales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chaetophorales-Chaetophorales
8315ece0-df0c-4802-be0b-f5d93a76baa3,,family,Chaetophoraceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chaetophorales-Chaetophoraceae-Chaetophoraceae
5ee1f5d0-f953-4ee9-ba0f-34e707ecf113,,order,Ulotrichales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Ulotrichales-Ulotrichales
d69051d7-3627-4f71-8305-c9b537b5f4a1,,family,Ulotrichaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Ulotrichales-Ulotrichaceae-Ulotrichaceae
01a4e2d9-7fee-4153-abf4-2cfdea62f5a5,,order,Cladophorales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Cladophorales-Cladophorales
7022349b-51ce-4c50-8eca-322622d0e364,,family,Cladophoraceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Cladophorales-Cladophoraceae-Cladophoraceae
