taxonUUID,taxonRank,parentUUID,simplifiedScientificName,kingdom,class,number_of_occurrence,TT_URL
81cf66f2-68c6-4ae3-bf9a-4b02adf3bdfa,class,9c155323-b8cd-4a62-b83e-79ac4e135fd1,Anopla,Animalia,Anopla,0,https://taxatree.tbn.org.tw/taxa/81cf66f2-68c6-4ae3-bf9a-4b02adf3bdfa
0375650e-5b02-4ed6-857a-6f62e155856c,kingdom,205b1246-d120-41f3-a07d-d26ca09f3a56,Crenarchaeota,Crenarchaeota,"",2,https://taxatree.tbn.org.tw/taxa/0375650e-5b02-4ed6-857a-6f62e155856c
8739248e-2a6c-4498-a6dc-ec129ddf4ddd,kingdom,205b1246-d120-41f3-a07d-d26ca09f3a56,Euryarchaeota,Euryarchaeota,"",1,https://taxatree.tbn.org.tw/taxa/8739248e-2a6c-4498-a6dc-ec129ddf4ddd
45a03696-6726-406a-9094-cd87fabe502d,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Euglenoida,Euglenoida,"",0,https://taxatree.tbn.org.tw/taxa/45a03696-6726-406a-9094-cd87fabe502d
ccd11454-a14f-4ba4-81d9-b135e1ff7ba7,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Postgaardia,Postgaardia,"",0,https://taxatree.tbn.org.tw/taxa/ccd11454-a14f-4ba4-81d9-b135e1ff7ba7
d08f6498-abca-4c04-893e-a6e7856d6199,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Glycomonada,Glycomonada,"",0,https://taxatree.tbn.org.tw/taxa/d08f6498-abca-4c04-893e-a6e7856d6199
810e6be0-e193-4619-b10a-8bd2ac034923,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Percolozoa,Percolozoa,"",0,https://taxatree.tbn.org.tw/taxa/810e6be0-e193-4619-b10a-8bd2ac034923
9e5a3739-cd0f-48a2-9153-a26de92d6f51,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Tsukubamonadea,Tsukubamonadea,"",0,https://taxatree.tbn.org.tw/taxa/9e5a3739-cd0f-48a2-9153-a26de92d6f51
05768301-6b69-4454-a60e-c72aa942e181,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Jakobea,Jakobea,"",0,https://taxatree.tbn.org.tw/taxa/05768301-6b69-4454-a60e-c72aa942e181
64876e3f-78ad-4cd2-97b9-ec49a9243591,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Trichozoa,Trichozoa,"",0,https://taxatree.tbn.org.tw/taxa/64876e3f-78ad-4cd2-97b9-ec49a9243591
e9576fc5-03ff-41f3-abb6-c2376c18dd51,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Harosa,Harosa,"",0,https://taxatree.tbn.org.tw/taxa/e9576fc5-03ff-41f3-abb6-c2376c18dd51
96754173-537c-4192-ad37-2b6b0b330541,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Haptista,Haptista,"",0,https://taxatree.tbn.org.tw/taxa/96754173-537c-4192-ad37-2b6b0b330541
b97f04e6-e040-43c4-a957-4c1d09c2094f,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Cryptista,Cryptista,"",0,https://taxatree.tbn.org.tw/taxa/b97f04e6-e040-43c4-a957-4c1d09c2094f
c8f3b6cb-313b-4468-bb84-48c3fd8820b3,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Anaeromonada,Anaeromonada,"",0,https://taxatree.tbn.org.tw/taxa/c8f3b6cb-313b-4468-bb84-48c3fd8820b3
51fc97cb-6f6d-4720-b109-7ee56f83ffa8,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Neolouka,Neolouka,"",0,https://taxatree.tbn.org.tw/taxa/51fc97cb-6f6d-4720-b109-7ee56f83ffa8
eb510f8d-b32e-45ab-80b9-32f69c9bed85,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Picobiliphyta,Picobiliphyta,"",0,https://taxatree.tbn.org.tw/taxa/eb510f8d-b32e-45ab-80b9-32f69c9bed85
4b5dfd8d-fa42-4035-af1b-5babdcfa3520,kingdom,329c5b3e-0af3-4e8b-917f-e62e6d4aea27,Telonemia,Telonemia,"",0,https://taxatree.tbn.org.tw/taxa/4b5dfd8d-fa42-4035-af1b-5babdcfa3520
